date,site,Plot,Treatment,Microsite,Cycle,HHMMSS,FTime,EFFLUX,RHcmbr%,Tsoil_C,Tsch_C
180606,BlackPoint,1,Exl,IC,1,9:52:37,1104.5,0.292,12.45,26.78,24.6
180606,BlackPoint,1,Exl,IC,2,9:54:29,1216,0.273,12.14,26.85,24.92
180606,BlackPoint,1,Exl,IC,3,9:56:20,1327.5,0.253,12.08,26.94,25.08
180606,BlackPoint,1,Exl,IC,4,9:58:24,1451.5,0.242,11.99,27.02,25.23
180606,BlackPoint,1,Exl,Can,1,10:02:08,1675.5,0.11,12.55,27.11,25.29
180606,BlackPoint,1,Exl,Can,2,10:05:43,1890,0.11,12.44,27.18,25.43
180606,BlackPoint,1,Exl,Can,3,10:09:49,2136,0.0811,12.08,27.25,26.15
180606,BlackPoint,1,Exl,Can,4,10:14:11,2398.5,0.129,11.88,27.31,26.77
180606,BlackPoint,2,Exl,IC,1,10:18:00,2627,0.239,9.92,29.78,27.51
180606,BlackPoint,2,Exl,IC,2,10:20:09,2756,0.178,9.56,29.71,27.92
180606,BlackPoint,2,Exl,IC,3,10:22:28,2895,0.149,9.36,29.69,28.13
180606,BlackPoint,2,Exl,IC,4,10:25:06,3053,0.139,9.19,29.75,28.43
180606,BlackPoint,2,Exl,Can,1,10:33:55,3582,0.171,9.81,29.49,29.98
180606,BlackPoint,2,Exl,Can,2,10:37:27,3794.5,0.183,9.86,29.68,30.38
180606,BlackPoint,2,Exl,Can,3,10:40:40,3988,0.182,9.74,29.78,31.13
180606,BlackPoint,2,Exl,Can,4,10:44:16,4203.5,0.24,9.73,29.99,31.76
180606,BlackPoint,3,Ctrl,IC,1,10:48:31,4459,0.314,8.26,25.54,32.87
180606,BlackPoint,3,Ctrl,IC,2,10:51:13,4621,0.267,8.21,26.07,32.92
180606,BlackPoint,3,Ctrl,IC,3,10:54:14,4802,0.235,8.24,26.08,32.96
180606,BlackPoint,3,Ctrl,IC,4,10:56:52,4960,0.218,8.22,26.26,33.23
180606,BlackPoint,3,Ctrl,Can,1,11:01:12,5219.5,0.207,9.75,26.38,32.88
180606,BlackPoint,3,Ctrl,Can,2,11:04:04,5392,0.213,10.11,26.45,33.01
180606,BlackPoint,3,Ctrl,Can,3,11:06:55,5563,0.248,10.32,26.53,33.23
180606,BlackPoint,3,Ctrl,Can,4,11:09:41,5729,0.244,10.55,26.63,33.36
180606,BlackPoint,4,Exl,IC,1,11:14:52,6040,0.224,7.59,31.06,34.06
180606,BlackPoint,4,Exl,IC,2,11:18:14,6242,0.186,7.5,31.39,34.01
180606,BlackPoint,4,Exl,IC,3,11:21:22,6429.5,0.19,7.56,31.53,33.82
180606,BlackPoint,4,Exl,IC,4,11:24:36,6624,0.17,7.66,31.66,33.4
180606,BlackPoint,4,Exl,Can,1,11:29:47,6935,0.102,8.36,31.89,33.3
180606,BlackPoint,4,Exl,Can,2,11:33:34,7162,0.117,8.56,32.05,33.16
180606,BlackPoint,4,Exl,Can,3,11:37:26,7393.5,0.133,8.55,32.42,33.6
180606,BlackPoint,4,Exl,Can,4,11:41:18,7625.5,0.149,8.59,32.48,33.95
180606,BlackPoint,5,Ctrl,IC,1,11:46:41,7949,0.121,5.78,30.38,35.44
180606,BlackPoint,5,Ctrl,IC,2,11:50:44,8192,0.117,5.64,30.59,36.35
180606,BlackPoint,5,Ctrl,Can,1,12:12:58,9526.5,0.117,5.72,32.39,35.09
180606,BlackPoint,5,Ctrl,Can,2,12:19:57,9945,0.0848,5.86,32.76,35.88
180606,BlackPoint,5,Ctrl,Can,3,12:25:12,10260,0.167,6.02,32.89,36.32
180606,BlackPoint,5,Ctrl,Can,4,12:30:05,10553,0.0694,6.24,32.84,36.43
180606,BlackPoint,6,Ctrl,IC,1,12:39:49,11137.5,0.0819,4.42,34.99,36.02
180606,BlackPoint,6,Ctrl,IC,2,12:45:45,11493,0.0682,4.4,34.73,36.72
180606,BlackPoint,6,Ctrl,IC,4,12:52:03,11871.5,0.126,4.64,34.99,37.28
