date,site,Plot,Treatment,Microsite,Cycle,HHMMSS,FTime,EFFLUX,RHcmbr%,Tsoil_C,Tsch_C
180618,Antelope,5,Add,Can,1,12:15:30,5995.5,0.00116,7.61,27.36,34.17
180618,Antelope,5,Add,Can,2,12:17:55,6140,0.126,7.56,27.27,34.25
180618,Antelope,5,Add,Can,3,12:20:30,6295.5,0.123,7.59,27.62,34.28
180618,Antelope,5,Add,Can,4,12:23:44,6489.5,0.101,7.64,27.63,34.42
180618,Antelope,6,Exl,IC,1,12:30:03,6868.5,0.262,7.16,29.73,37.15
180618,Antelope,6,Exl,IC,2,12:31:56,6981.5,0.193,7.06,29.85,37.28
180618,Antelope,6,Exl,IC,3,12:33:49,7094,0.174,7.1,29.91,37.29
180618,Antelope,6,Exl,IC,4,12:35:45,7210.5,0.194,7.27,30.11,37.22
180618,Antelope,6,Exl,Can,1,12:39:16,7421,0.0992,8.04,34.92,37.72
180618,Antelope,6,Exl,Can,2,12:41:27,7552,0.228,8.07,35.85,37.65
180618,Antelope,6,Exl,Can,4,12:43:46,7691,0.234,8,36.06,37.66
180618,Antelope,6,Exl,Can,4,12:46:04,7829.5,0.159,8.01,36.26,37.64
180618,Antelope,7,Ctrl,IC,1,12:49:45,8050.5,0.106,7,31.28,38.42
180618,Antelope,7,Ctrl,IC,2,12:52:09,8195,0.172,7.12,31.1,37.95
180618,Antelope,7,Ctrl,IC,3,12:55:03,8369,0.139,7.17,30.88,37.34
180618,Antelope,7,Ctrl,Can,1,13:00:58,8723.5,0.096,6.34,31.31,36.78
180618,Antelope,7,Ctrl,Can,2,13:03:16,8861.5,0.139,6.38,31.55,36.68
180618,Antelope,7,Ctrl,Can,3,13:05:45,9010.5,0.167,6.45,31.38,36.51
180618,Antelope,7,Ctrl,Can,4,13:07:56,9141.5,0.126,6.52,31.22,36.35
180618,Antelope,8,Ctrl,IC,1,13:12:04,9390,-0.343,6.35,34.13,38.29
180618,Antelope,8,Ctrl,IC,2,13:15:44,9609.5,0.136,5.93,35,38.92
180618,Antelope,8,Ctrl,IC,3,13:19:35,9841,0.127,5.75,34.97,39.38
180618,Antelope,8,Ctrl,IC,4,13:23:52,10098,0.0261,5.76,35.31,39.62
180618,Antelope,8,Ctrl,Can,2,13:32:27,10612.5,0.0184,5.68,35.92,40.23
180618,Antelope,8,Ctrl,Can,3,13:35:43,10808.5,0.0902,5.87,36.17,40.26
180618,Antelope,8,Ctrl,Can,4,13:38:59,11004.5,0.14,6.14,36.42,40
180618,Antelope,9,Exl,IC,1,13:43:44,11290,-0.22,3.66,33.45,40.71
180618,Antelope,9,Exl,IC,2,13:48:45,11590.5,-0.0313,3.58,33.37,40.83
180618,Antelope,9,Exl,IC,3,13:52:31,11816.5,-0.0107,3.51,33.76,41
180618,Antelope,9,Exl,Can,1,14:01:29,12354.5,0.171,4.25,33.82,40.8
180618,Antelope,9,Exl,Can,2,14:04:48,12554,0.0977,4.51,33.84,40.96
180618,Antelope,9,Exl,Can,3,14:07:46,12732,0.137,4.71,33.88,41.11
180618,Antelope,9,Exl,Can,4,14:10:50,12916,0.148,4.89,34.08,41.17
