date,site,Plot,Treatment,Microsite,Cycle,HHMMSS,FTime,EFFLUX,RHcmbr%,Tsoil_C,Tsch_C
180705,BlueChute,1,Add,IC,1,9:20:01,981,1.29,29.48,22.38,18.08
180705,BlueChute,1,Add,IC,2,9:21:55,1095.5,0.663,28.71,22.4,18.71
180705,BlueChute,1,Add,IC,3,9:23:53,1213,0.628,27.65,22.44,19.3
180705,BlueChute,1,Add,IC,4,9:25:50,1330.5,0.638,26.71,22.45,19.97
180705,BlueChute,1,Add,Can,2,9:29:46,1566.5,0.834,26.38,22.48,20.83
180705,BlueChute,1,Add,Can,3,9:31:40,1680,0.744,26.08,22.47,21.07
180705,BlueChute,1,Add,Can,4,9:33:33,1793.5,0.747,25.8,22.46,21.33
180705,BlueChute,2,Ctrl,IC,2,9:37:39,2039,1.58,25.19,22.26,23.15
180705,BlueChute,2,Ctrl,IC,3,9:38:49,2109.5,1.55,24.53,22.1,23.63
180705,BlueChute,2,Ctrl,IC,4,9:40:03,2183,1.45,23.86,21.92,24.12
180705,BlueChute,2,Ctrl,Can,2,9:42:46,2346.5,1.26,23.24,21.6,25.01
180705,BlueChute,2,Ctrl,Can,3,9:44:04,2424.5,1.23,22.78,21.52,25.39
180705,BlueChute,2,Ctrl,Can,4,9:45:25,2505,1.18,22.38,21.51,25.77
180705,BlueChute,4,Exl,IC,1,9:49:20,2740.5,0.887,19.65,22.11,26.88
180705,BlueChute,4,Exl,IC,2,9:51:19,2859.5,0.487,19.36,22.07,27.23
180705,BlueChute,4,Exl,IC,3,9:53:15,2975.5,0.485,19.11,22.04,27.6
180705,BlueChute,4,Exl,IC,4,9:55:14,3094,0.502,18.99,22.07,27.88
180705,BlueChute,4,Exl,Can,1,9:57:32,3232,0.579,17.97,22.15,28.28
180705,BlueChute,4,Exl,Can,2,9:59:32,3352,0.572,18.05,22.13,28.56
180705,BlueChute,4,Exl,Can,3,10:01:25,3465.5,0.596,18.02,22.2,28.86
180705,BlueChute,4,Exl,Can,4,10:03:24,3584,0.588,18.15,22.2,28.9
180705,BlueChute,3,Ctrl,IC,1,10:06:26,3766,1.54,17.66,22.48,28.77
180705,BlueChute,3,Ctrl,IC,2,10:08:17,3877,0.882,18.07,22.13,28.72
180705,BlueChute,3,Ctrl,IC,3,10:09:59,3979.5,0.917,18.21,21.98,28.8
180705,BlueChute,3,Ctrl,IC,4,10:11:38,4079,0.961,18.28,21.91,28.9
180705,BlueChute,3,Ctrl,Can,1,10:14:26,4247,0.556,18.72,21.77,28.93
180705,BlueChute,3,Ctrl,Can,2,10:16:20,4360.5,0.564,19.17,21.75,29.03
180705,BlueChute,3,Ctrl,Can,3,10:18:13,4474,0.619,19.21,21.76,29.33
180705,BlueChute,3,Ctrl,Can,4,10:20:10,4591,0.624,19.43,21.85,29.44
180705,BlueChute,6,Add,IC,1,10:23:07,4767.5,1.96,18.31,22.47,30.97
180705,BlueChute,6,Add,IC,2,10:23:59,4819.5,1.76,17.91,22.13,31.31
180705,BlueChute,6,Add,IC,3,10:24:54,4874,1.7,17.73,21.99,31.45
180705,BlueChute,6,Add,IC,4,10:25:48,4929,1.75,17.62,21.96,31.56
180705,BlueChute,6,Add,Can,1,10:27:38,5038.5,1.8,16.69,21.96,32.31
180705,BlueChute,6,Add,Can,2,10:28:37,5097,1.6,16.34,22.02,32.64
180705,BlueChute,6,Add,Can,3,10:29:40,5161,1.44,16.31,22.06,32.61
180705,BlueChute,6,Add,Can,4,10:30:51,5231.5,1.33,16,22.1,32.94
180705,BlueChute,8,Exl,IC,2,10:34:25,5446,1.78,14.92,23.96,33.53
180705,BlueChute,8,Exl,IC,3,10:35:27,5508,1.64,14.74,23.92,33.46
180705,BlueChute,8,Exl,IC,4,10:36:33,5573.5,1.56,14.6,23.97,33.44
180705,BlueChute,8,Exl,Can,1,10:38:40,5700.5,0.964,13.52,24.08,33.21
180705,BlueChute,8,Exl,Can,2,10:40:18,5798.5,0.935,13.66,24.18,33.17
180705,BlueChute,8,Exl,Can,3,10:42:05,5905.5,0.914,13.56,24.28,33.36
180705,BlueChute,8,Exl,Can,4,10:43:52,6012.5,0.826,13.53,24.33,33.37
180705,BlueChute,5,Ctrl,IC,2,10:47:11,6212,1.82,15.65,23.25,33.89
180705,BlueChute,5,Ctrl,IC,3,10:48:12,6273,1.67,15.53,23,34.04
180705,BlueChute,5,Ctrl,IC,4,10:49:10,6331,1.66,15.41,22.84,34.23
180705,BlueChute,5,Ctrl,Can,2,10:52:43,6543.5,1.16,14.01,22.67,34.47
180705,BlueChute,5,Ctrl,Can,3,10:54:13,6633.5,1.11,13.93,22.63,34.74
180705,BlueChute,5,Ctrl,Can,4,10:55:44,6724.5,1.06,13.98,22.69,34.85
180705,BlueChute,9,Add,IC,1,10:58:29,6889.5,1.52,13.24,24.4,35.93
180705,BlueChute,9,Add,IC,2,10:59:28,6949,1.52,13.16,24.22,36.19
180705,BlueChute,9,Add,IC,3,11:00:31,7011.5,1.49,13.17,24.23,36.3
180705,BlueChute,9,Add,IC,4,11:01:35,7075.5,1.5,13.2,24.33,36.39
180705,BlueChute,9,Add,Can,2,11:04:14,7234.5,1.34,12.9,24.69,36.73
180705,BlueChute,9,Add,Can,3,11:05:38,7318.5,1.15,12.72,24.83,36.72
180705,BlueChute,9,Add,Can,4,11:07:05,7406,1.13,12.73,24.99,36.71
180705,BlueChute,10,Exl,IC,2,11:10:16,7597,1.75,12.07,26.92,37.32
180705,BlueChute,10,Exl,IC,3,11:11:17,7658,1.6,11.94,26.86,37.33
180705,BlueChute,10,Exl,IC,4,11:12:23,7724,1.48,11.77,26.89,37.41
180705,BlueChute,10,Exl,Can,1,11:14:55,7875.5,0.82,11.24,27.02,37.83
180705,BlueChute,10,Exl,Can,2,11:16:48,7989,0.724,11.14,27.11,37.94
180705,BlueChute,10,Exl,Can,3,11:18:43,8103.5,0.636,11.1,27.27,38.15
180705,BlueChute,10,Exl,Can,4,11:20:36,8216.5,0.628,11.21,27.42,38.03
