date,site,Plot,Treatment,Microsite,Cycle,HHMMSS,FTime,EFFLUX,RHcmbr%,Tsoil_C,Tsch_C
180724,Arboretum,1,Exl,IC,1,8:33:10,931.5,2.28,80.7,18.23,16.67
180724,Arboretum,1,Exl,IC,2,8:34:33,1015,2.33,82.71,18.31,16.68
180724,Arboretum,1,Exl,IC,3,8:35:56,1098,2.27,83.52,18.31,16.74
180724,Arboretum,1,Exl,IC,4,8:37:20,1182.5,2.22,84.46,18.29,16.69
180724,Arboretum,1,Exl,Can,1,8:39:39,1321.5,2.52,72.47,18.33,16.47
180724,Arboretum,1,Exl,Can,2,8:41:04,1406,2.42,74.4,18.55,16.38
180724,Arboretum,1,Exl,Can,3,8:42:34,1496,2.43,75.87,18.65,16.28
180724,Arboretum,1,Exl,Can,4,8:43:57,1579,2.36,76.01,18.79,16.36
180724,Arboretum,2,Ctrl,IC,1,8:47:43,1805.5,2.76,80.7,18.56,16.38
180724,Arboretum,2,Ctrl,IC,2,8:49:00,1882.5,2.69,81.32,18.79,16.65
180724,Arboretum,2,Ctrl,IC,3,8:50:19,1961,2.62,82.11,19,16.72
180724,Arboretum,2,Ctrl,IC,4,8:51:38,2040.5,2.55,82.2,19.14,16.85
180724,Arboretum,2,Ctrl,Can,1,8:53:52,2174.5,2.19,81.3,19.25,17.1
180724,Arboretum,2,Ctrl,Can,2,8:55:25,2267.5,2.09,81.37,19.28,17.29
180724,Arboretum,2,Ctrl,Can,3,8:56:54,2356,2.02,80.63,19.26,17.53
180724,Arboretum,2,Ctrl,Can,4,8:58:27,2449,1.98,79.77,19.28,17.81
180724,Arboretum,3,Add,IC,1,9:02:12,2674,3.36,74.9,18.96,18.37
180724,Arboretum,3,Add,IC,2,9:03:21,2743,3.25,76.22,18.8,18.46
180724,Arboretum,3,Add,IC,3,9:04:34,2816.5,3.24,76.56,18.65,18.57
180724,Arboretum,3,Add,IC,4,9:05:45,2887.5,3.16,76.97,18.59,18.59
180724,Arboretum,3,Add,Can,1,9:08:17,3039,2.23,76.48,18.52,18.23
180724,Arboretum,3,Add,Can,2,9:09:57,3139.5,2.15,78.08,18.47,18.19
180724,Arboretum,3,Add,Can,3,9:11:31,3233.5,2.05,78.39,18.43,18.28
