date,site,Plot,Treatment,Microsite,Cycle,HHMMSS,FTime,EFFLUX,RHcmbr%,Tsoil_C,Tsch_C
180912,CampColton,1,Ctrl,IC,1,14:05:43,215.5,4.94,9.85,15.33,25.43
180912,CampColton,1,Ctrl,IC,2,14:06:18,251.5,4.52,10.11,15.35,25.38
180912,CampColton,1,Ctrl,IC,3,14:06:55,288,4.59,10.1,15.37,25.32
180912,CampColton,1,Ctrl,IC,4,14:07:30,323.5,4.63,10,15.38,25.26
180912,CampColton,1,Ctrl,Can,1,14:08:59,412.5,4.58,14.84,15.55,25.31
180912,CampColton,1,Ctrl,Can,2,14:09:54,467,4.76,16.26,15.51,25.26
180912,CampColton,1,Ctrl,Can,3,14:10:45,518.5,4.89,16.49,15.51,25.23
180912,CampColton,1,Ctrl,Can,4,14:11:36,569.5,4.65,16.16,15.54,25.24
180912,CampColton,2,Exl,IC,1,14:14:37,750,5.42,12.55,15.51,26.08
180912,CampColton,2,Exl,IC,2,14:15:25,798,5.14,13.33,15.23,26
180912,CampColton,2,Exl,IC,3,14:16:12,845,5.08,13.36,15.15,25.92
180912,CampColton,2,Exl,IC,4,14:16:59,892.5,5.07,13.02,15.05,25.96
180912,CampColton,2,Exl,Can,1,14:18:35,988.5,5.88,14,15,25.15
180912,CampColton,2,Exl,Can,2,14:19:20,1033,6.27,15.2,15.02,25.01
180912,CampColton,2,Exl,Can,3,14:20:07,1080,6.09,15.75,15.2,24.95
180912,CampColton,2,Exl,Can,4,14:20:50,1123,6.2,16.03,15.43,24.87
180912,CampColton,4,Add,IC,1,14:25:59,1432.5,3.36,12.02,15,25.36
180912,CampColton,4,Add,IC,2,14:27:30,1523.5,3.4,12.32,14.9,25.38
180912,CampColton,4,Add,IC,3,14:29:04,1617,3.39,12.54,14.86,25.42
180912,CampColton,4,Add,IC,4,14:30:41,1714.5,3.37,12.64,14.73,25.53
180912,CampColton,4,Add,Can,1,14:32:07,1800.5,6.89,10.56,14.78,25.77
180912,CampColton,4,Add,Can,2,14:33:27,1880.5,5.34,11.72,14.84,25.9
180912,CampColton,4,Add,Can,3,14:34:46,1959,5.49,11.79,14.93,26.05
180912,CampColton,4,Add,Can,4,14:36:06,2039.5,5.17,11.76,15.05,26.18
180912,CampColton,3,Ctrl,IC,1,14:38:48,2201,4.7,17.24,14.7,26.75
180912,CampColton,3,Ctrl,IC,2,14:40:04,2277.5,4.95,18.46,14.58,26.87
180912,CampColton,3,Ctrl,IC,3,14:41:19,2352.5,4.81,18.45,14.55,27.03
180912,CampColton,3,Ctrl,IC,4,14:42:34,2427.5,4.75,18.31,14.53,27.2
