Date/time,Sample,Details,soilmass_g,BulkDensity,soil_pctC,temperature,CO2(ppmv)
2/5/19 14:33,BPAddP9Can0-5,13,50,8.192851423,0.708275213,25,669.6
2/5/19 14:41,BPCtrlP8Can0-5,14,50.03,8.662618587,0.990866889,25,1111.5
2/5/19 14:48,BPExlP4Can0-5,15,50.02,7.848225793,0.847646431,25,3324.9
2/5/19 14:56,ANTAddP1Can0-5,16,49.99,7.094695146,1.342524322,25,2349.6
2/5/19 15:09,ANTCtrlP3Can0-5,17,50.01,5.469512315,1.543886943,25,2216.1
2/5/19 15:17,ANTExlP4Can0-5,18,50.01,5.608937181,0.981022986,25,1552.7
2/5/19 15:24,BCAddP1Can0-5,19,50.02,4.171439756,2.970732511,25,2189.3
2/5/19 15:38,BCCtrlP7Can0-5,20,49.99,6.311645241,2.19521197,25,3184.7
2/5/19 15:46,BCExlP12Can0-5,21,49.98,4.683814244,3.519802433,25,1764.4
2/5/19 15:55,ARBAddP12Can0-5,22,50.01,4.956219479,2.768902508,25,2968.6
2/5/19 16:04,ARBCtrlP11Can0-5,23,50.01,5.145876247,1.963747473,25,3013.1
2/5/19 16:13,ARBExlP4Can0-5,24,49.95,6.419871718,2.750961865,25,4357.2
2/5/19 16:21,CCAddP9Can0-5,25,42.88,4.771077394,4.749900685,25,3055.4
2/5/19 16:30,CCCtrlP1Can0-5,26,40.03,4.470552745,4.966319979,25,2743
2/5/19 16:36,CCExlP10Can0-5,27,50.07,3.509211998,5.70038402,25,2112.5
2/5/19 15:33,BPAddP9Can0-5,13,50,8.192851423,0.708275213,25,1916.2
2/5/19 15:41,BPCtrlP8Can0-5,14,50.03,8.662618587,0.990866889,25,4213.3
2/5/19 15:48,BPExlP4Can0-5,15,50.02,7.848225793,0.847646431,25,1736.6
2/5/19 15:57,ANTAddP1Can0-5,16,49.99,7.094695146,1.342524322,25,4093.4
2/5/19 16:09,ANTCtrlP3Can0-5,17,50.01,5.469512315,1.543886943,25,4578.2
2/5/19 16:17,ANTExlP4Can0-5,18,50.01,5.608937181,0.981022986,25,2283.3
2/5/19 16:24,BCAddP1Can0-5,19,50.02,4.171439756,2.970732511,25,7119.5
2/5/19 16:38,BCCtrlP7Can0-5,20,49.99,6.311645241,2.19521197,25,5492.5
2/5/19 16:46,BCExlP12Can0-5,21,49.98,4.683814244,3.519802433,25,4959.4
2/5/19 16:55,ARBAddP12Can0-5,22,50.01,4.956219479,2.768902508,25,10049.4
2/5/19 17:04,ARBCtrlP11Can0-5,23,50.01,5.145876247,1.963747473,25,9734.4
2/5/19 17:13,ARBExlP4Can0-5,24,49.95,6.419871718,2.750961865,25,6565
2/5/19 17:21,CCAddP9Can0-5,25,42.88,4.771077394,4.749900685,25,8684.8
2/5/19 17:30,CCCtrlP1Can0-5,26,40.03,4.470552745,4.966319979,25,23494.2
2/5/19 17:36,CCExlP10Can0-5,27,50.07,3.509211998,5.70038402,25,14281
2/6/19 17:33,BPAddP9Can0-5,13,50,8.192851423,0.708275213,25,0
2/6/19 17:35,BPCtrlP8Can0-5,14,50.03,8.662618587,0.990866889,25,0
2/6/19 17:39,BPExlP4Can0-5,15,50.02,7.848225793,0.847646431,25,8515.7
2/6/19 17:43,ANTAddP1Can0-5,16,49.99,7.094695146,1.342524322,25,31221.7
2/6/19 17:47,ANTCtrlP3Can0-5,17,50.01,5.469512315,1.543886943,25,30945.2
2/6/19 17:48,ANTExlP4Can0-5,18,50.01,5.608937181,0.981022986,25,15038.4
2/6/19 17:50,BCAddP1Can0-5,19,50.02,4.171439756,2.970732511,25,15185.9
2/6/19 17:55,BCCtrlP7Can0-5,20,49.99,6.311645241,2.19521197,25,19521.7
2/6/19 17:59,BCExlP12Can0-5,21,49.98,4.683814244,3.519802433,25,26857.8
2/6/19 18:01,ARBAddP12Can0-5,22,50.01,4.956219479,2.768902508,25,58269.5
2/6/19 18:03,ARBCtrlP11Can0-5,23,50.01,5.145876247,1.963747473,25,29978.6
2/6/19 18:07,ARBExlP4Can0-5,24,49.95,6.419871718,2.750961865,25,20497
2/6/19 18:11,CCAddP9Can0-5,25,42.88,4.771077394,4.749900685,25,65739.3
2/6/19 18:15,CCCtrlP1Can0-5,26,40.03,4.470552745,4.966319979,25,68728
2/6/19 18:22,CCExlP10Can0-5,27,50.07,3.509211998,5.70038402,25,21086.7
2/7/19 17:27,BPAddP9Can0-5,13,50,8.192851423,0.708275213,25,5928.5
2/7/19 17:27,BPCtrlP8Can0-5,14,50.03,8.662618587,0.990866889,25,7662.2
2/7/19 17:28,BPExlP4Can0-5,15,50.02,7.848225793,0.847646431,25,6809.5
2/7/19 17:31,ANTAddP1Can0-5,16,49.99,7.094695146,1.342524322,25,12164.3
2/7/19 17:33,ANTCtrlP3Can0-5,17,50.01,5.469512315,1.543886943,25,15280.5
2/7/19 17:35,ANTExlP4Can0-5,18,50.01,5.608937181,0.981022986,25,8855.6
2/7/19 17:36,BCAddP1Can0-5,19,50.02,4.171439756,2.970732511,25,12577.9
2/7/19 17:38,BCCtrlP7Can0-5,20,49.99,6.311645241,2.19521197,25,17083.3
2/7/19 17:39,BCExlP12Can0-5,21,49.98,4.683814244,3.519802433,25,16578.6
2/7/19 17:41,ARBAddP12Can0-5,22,50.01,4.956219479,2.768902508,25,25922.6
2/7/19 17:42,ARBCtrlP11Can0-5,23,50.01,5.145876247,1.963747473,25,17587.2
2/7/19 17:43,ARBExlP4Can0-5,24,49.95,6.419871718,2.750961865,25,11242.4
2/7/19 17:46,CCAddP9Can0-5,25,42.88,4.771077394,4.749900685,25,33754.9
2/7/19 17:48,CCCtrlP1Can0-5,26,40.03,4.470552745,4.966319979,25,32100.2
2/7/19 17:49,CCExlP10Can0-5,27,50.07,3.509211998,5.70038402,25,33999.6
