Site,Treatment,Plot,Microsite,Depth,initial.DOC,extractable.MBC,MBC
ANT,Add,11,IC,lower,58.72019078,52.0133351,115.5851891
ANT,Add,11,IC,upper,94.33815345,22.82418979,50.72042176
ANT,Add,5,Can,lower,82.2232384,39.96187762,88.8041725
ANT,Ctrl,3,IC,lower,90.75735822,51.2494445,113.8876544
ANT,Ctrl,3,IC,upper,103.5597612,37.67717198,83.72704883
ANT,Ctrl,7,Can,lower,63.22227098,49.50506409,110.0112535
ANT,Ctrl,8,IC,lower,48.20906842,71.64042138,159.2009364
ANT,Exl,12,IC,upper,89.18030455,82.64519974,183.6559994
ANT,Exl,4,Can,lower,100.4520724,37.29412573,82.87583495
ANT,Exl,4,IC,upper,34.14477631,71.74310505,159.4291223
ARB,Add,12,Can,lower,162.5911153,173.5903998,385.7564441
ARB,Add,8,Can,upper,129.0189549,181.5702767,403.4895038
ARB,Add,8,IC,lower,120.9885192,108.5631714,241.2514921
ARB,Ctrl,5,Can,lower,127.3414354,165.6407636,368.0905858
ARB,Ctrl,5,IC,lower,101.8251925,156.1405516,346.9790035
ARB,Ctrl,5,IC,upper,94.57900527,184.0239973,408.9422162
ARB,Ctrl,6,Can,upper,98.72637139,194.0468099,431.2151331
ARB,Exl,1,Can,lower,143.5871795,174.4110609,387.5801353
ARB,Exl,10,Can,upper,116.5082419,185.8677007,413.0393348
BC,Add,11,Can,upper,248.0436998,143.2426396,318.3169768
BC,Ctrl,2,IC,upper,202.3250857,158.6336147,352.5191437
BC,Ctrl,5,Can,lower,201.1893238,176.2597903,391.6884228
BC,Ctrl,5,Can,upper,160.0366251,196.5138698,436.6974883
BC,Exl,10,Can,lower,238.776157,228.975922,508.8353823
BC,Exl,10,Can,upper,-14.61491822,489.0237256,1086.71939
BC,Exl,10,IC,lower,596.908008,0,0
BC,Exl,12,Can,lower,208.8947714,248.5534963,552.3411029
BC,Exl,8,Can,lower,274.1027144,179.6837687,399.2972637
BP,Add,10,Can,upper,103.6697623,1.050992991,2.33553998
BP,Add,11,Can,upper,221.296576,34.73810663,77.1957925
BP,Add,11,IC,lower,93.98604331,13.8865542,30.85900934
BP,Ctrl,3,Can,upper,369.8261872,7.657483938,17.01663097
BP,Ctrl,5,IC,lower,75.90297815,0,0
BP,Ctrl,6,Can,lower,78.07808621,38.4672586,85.48279689
BP,Ctrl,8,Can,lower,230.6204444,0,0
BP,Exl,1,Can,lower,125.7260753,44.97297521,99.93994491
BP,Exl,1,Can,upper,118.1686783,33.17059744,73.71243875
BP,Exl,2,IC,upper,74.89307398,3.641249289,8.091665088
CC,Add,11,Can,upper,312.2636431,143.1351814,318.078181
CC,Add,4,IC,lower,241.6725279,91.00216508,202.2270335
CC,Add,6,IC,lower,295.7445288,91.29351859,202.8744858
CC,Ctrl,12,Can,lower,381.687919,144.9008151,322.0018112
CC,Ctrl,12,Can,upper,579.4988205,194.1827352,431.5171893
CC,Ctrl,12,IC,upper,297.5958485,112.4684469,249.9298821
CC,Exl,10,Can,lower,335.3258101,157.8010707,350.6690459
CC,Exl,10,IC,upper,300.6814728,193.3574373,429.6831941
CC,Exl,2,Can,upper,234.4619818,171.2300976,380.5113279
CC,Exl,8,Can,lower,239.6531193,100.1685357,222.596746
