Site,Trt,Canopy,Depth,Plot,run_date,PctN,PctC
BlackPoint,Add,Can,0-5,9,190131,0.021865792,0.708275213
BlackPoint,Add,Can,0-5,10,190422,0.022727321,0.748699901
BlackPoint,Add,Can,0-5,11,190426,0.042755034,0.480290587
BlackPoint,Add,Can,0-5,12,190820,0.019710238,0.235865485
BlackPoint,Add,Can,0-5,12,190426,0.028503356,0.339015288
BlackPoint,Add,Can,10-May,9,190131,0.024774975,0.744945273
BlackPoint,Add,Can,10-May,12,190201,0.020603077,0.652278288
BlackPoint,Add,Can,10-May,11,190201,0.029864056,0.854733878
BlackPoint,Add,Can,10-May,10,190820,0.026034379,0.268553085
BlackPoint,Add,IC,0-5,9,190201,0.024245035,0.83861768
BlackPoint,Add,IC,0-5,12,190627,0.022103917,0.201195068
BlackPoint,Add,IC,0-5,11,190627,0.033106315,0.329214343
BlackPoint,Add,IC,0-5,10,190820,0.023293918,0.296690057
BlackPoint,Add,IC,10-May,12,190402,0.02028564,0.682008393
BlackPoint,Add,IC,10-May,9,190627,0.030925659,0.303278993
BlackPoint,Add,IC,10-May,10,190627,0.026366107,0.244498606
BlackPoint,Add,IC,10-May,11,190820,0.031093691,0.314742425
BlackPoint,Exl,Can,0-5,4,190402,0.023859777,0.847646431
BlackPoint,Exl,Can,0-5,2,190402,0.026950922,0.85753604
BlackPoint,Exl,Can,0-5,7,190402,0.021155025,0.734357098
BlackPoint,Exl,Can,0-5,1,190426,0.028815436,0.32887608
BlackPoint,Exl,Can,10-May,2,190131,0.026651867,0.865374307
BlackPoint,Exl,Can,10-May,7,190201,0.021123357,0.729709048
BlackPoint,Exl,Can,10-May,2,190201,0.030592448,0.814863639
BlackPoint,Exl,Can,10-May,4,190313,0.029949153,0.89746686
BlackPoint,Exl,Can,10-May,1,190426,0.035577181,0.34179081
BlackPoint,Exl,IC,0-5,1,190131,0.022804238,0.743341055
BlackPoint,Exl,IC,0-5,7,190426,0.024342282,0.235277439
BlackPoint,Exl,IC,0-5,4,190627,0.016354916,0.14957965
BlackPoint,Exl,IC,0-5,2,190820,0.021923687,0.25836579
BlackPoint,Exl,IC,10-May,1,190131,0.023742684,0.645491837
BlackPoint,Exl,IC,10-May,7,190422,0.021153134,0.745060728
BlackPoint,Exl,IC,10-May,4,190402,0.017001298,0.700846489
BlackPoint,Ctrl,Can,0-5,6,190422,0.020857974,0.74836677
BlackPoint,Ctrl,Can,0-5,8,190313,0.034307079,0.990866889
BlackPoint,Ctrl,Can,0-5,3,190426,0.030271812,0.384187018
BlackPoint,Ctrl,Can,0-5,5,190625,0.032493083,0.341550557
BlackPoint,Ctrl,Can,10-May,5,190131,0.023742684,0.800364458
BlackPoint,Ctrl,Can,10-May,8,190422,0.036993388,0.958654737
BlackPoint,Ctrl,Can,10-May,6,190426,0.026526846,0.287924821
BlackPoint,Ctrl,Can,10-May,3,190820,0.027931621,0.311350182
BlackPoint,Ctrl,IC,0-5,6,190131,0.025994955,0.785467732
BlackPoint,Ctrl,IC,0-5,5,190131,0.019331988,0.751109014
BlackPoint,Ctrl,IC,0-5,3,190131,0.018393542,0.70714144
BlackPoint,Ctrl,IC,0-5,8,190201,0.038396643,0.877773837
BlackPoint,Ctrl,IC,10-May,6,190131,0.019238143,0.722552973
BlackPoint,Ctrl,IC,10-May,8,190201,0.031945175,0.858093886
BlackPoint,Ctrl,IC,10-May,5,190422,0.023317641,0.81773573
BlackPoint,Ctrl,IC,10-May,3,190426,0.026838926,0.236673898
Antelope,Add,Can,0-5,2,190131,0.092155399,1.076290476
Antelope,Add,Can,0-5,5,190426,0.094248322,1.114535498
Antelope,Add,Can,0-5,11,190627,0.100508393,1.342524322
