Site,Treatment,Plot,Microsite,Depth,Enzyme,Activity
BP,Add,9,Can,0-5,BG,147.482557
BP,Add,9,Can,0-5,CBH,104.752267
BP,Add,9,Can,0-5,NAG,22.1458828
BP,Add,9,Can,0-5,PHOS,53.7223272
BP,Add,10,Can,0-5,BG,591.759497
BP,Add,10,Can,0-6,CBH,85.0713501
BP,Add,10,Can,0-7,NAG,8.75326557
BP,Add,10,Can,0-8,PHOS,369.678765
BP,Add,11,Can,0-9,BG,837.153454
BP,Add,11,Can,0-10,CBH,50.6844367
BP,Add,11,Can,0-11,NAG,2.13771039
BP,Add,11,Can,0-12,PHOS,227.141607
BP,Add,12,Can,0-13,BG,485.67657
BP,Add,12,Can,0-14,CBH,NA
BP,Add,12,Can,0-15,NAG,2.51644675
BP,Add,12,Can,0-16,PHOS,92.2210318
BP,Exl,1,Can,0-17,BG,209.44138
BP,Exl,1,Can,0-18,CBH,196.41017
BP,Exl,1,Can,0-19,NAG,12.7599511
BP,Exl,1,Can,0-20,PHOS,155.070351
BP,Exl,2,Can,0-21,BG,776.562792
BP,Exl,2,Can,0-22,CBH,111.607536
BP,Exl,2,Can,0-23,NAG,2.49082559
BP,Exl,2,Can,0-24,PHOS,244.234193
BP,Exl,4,Can,0-25,BG,581.578645
BP,Exl,4,Can,0-26,CBH,82.0520608
BP,Exl,4,Can,0-27,NAG,4.57538029
BP,Exl,4,Can,0-28,PHOS,168.327604
BP,Exl,7,Can,0-29,BG,581.578645
BP,Exl,7,Can,0-30,CBH,82.0520608
BP,Exl,7,Can,0-31,NAG,4.57538029
BP,Exl,7,Can,0-32,PHOS,168.327604
BP,Ctrl,3,Can,0-33,BG,281.369485
BP,Ctrl,3,Can,0-34,CBH,446.829924
BP,Ctrl,3,Can,0-35,NAG,20.9264902
BP,Ctrl,3,Can,0-36,PHOS,105.838709
BP,Ctrl,5,Can,0-37,BG,977.163864
BP,Ctrl,5,Can,0-38,CBH,168.172272
BP,Ctrl,5,Can,0-39,NAG,2.85119994
BP,Ctrl,5,Can,0-40,PHOS,199.518447
BP,Ctrl,6,Can,0-41,BG,566.319509
BP,Ctrl,6,Can,0-42,CBH,59.8102917
