date,site,Plot,Treatment,Microsite,Cycle,HHMMSS,FTime,EFFLUX,RHcmbr%,Tsoil_C,Tsch_C
180607,CampColton,1,Ctrl,IC,1,9:45:38,387,1.34,37.85,11.95,14.38
180607,CampColton,1,Ctrl,IC,2,9:46:18,427,1.41,38.74,11.93,14.48
180607,CampColton,1,Ctrl,IC,3,9:47:00,469.5,1.38,39.15,11.95,14.66
180607,CampColton,1,Ctrl,IC,4,9:47:41,510,1.39,39.59,11.99,14.73
180607,CampColton,1,Ctrl,Can,1,9:49:40,629,5.71,29.89,12.19,15.22
180607,CampColton,1,Ctrl,Can,2,9:50:11,660,2.9,30.81,12.21,15.34
180607,CampColton,1,Ctrl,Can,3,9:50:40,689.5,2.06,31.39,12.19,15.47
180607,CampColton,1,Ctrl,Can,4,9:51:11,720.5,1.88,31.94,12.24,15.58
180607,CampColton,2,Exl,IC,1,9:53:48,877.5,3.75,34.71,14.23,16.98
180607,CampColton,2,Exl,IC,2,9:54:19,908,3.31,36.17,14.17,17.12
180607,CampColton,2,Exl,IC,3,9:54:49,938,3.45,37.28,14.11,17.09
180607,CampColton,2,Exl,IC,4,9:55:19,968,3.48,37.82,14.11,17.15
180607,CampColton,2,Exl,Can,1,9:56:32,1041,2.75,27.67,14.02,17.44
180607,CampColton,2,Exl,Can,2,9:57:01,1070.5,2.25,30.21,13.99,17.49
180607,CampColton,2,Exl,Can,3,9:57:31,1099.5,2.14,31.56,13.98,17.52
180607,CampColton,2,Exl,Can,4,9:58:00,1129.5,2.07,32.28,13.96,17.59
180607,CampColton,3,Ctrl,IC,1,10:00:24,1273.5,1.98,28.71,13.87,17.7
180607,CampColton,3,Ctrl,IC,2,10:00:55,1304.5,1.81,30.36,13.64,17.75
180607,CampColton,3,Ctrl,IC,3,10:01:26,1335.5,1.78,31.7,13.42,17.7
180607,CampColton,3,Ctrl,IC,4,10:01:59,1368.5,1.68,32.52,13.24,17.71
180607,CampColton,3,Ctrl,Can,1,10:03:08,1437,1.79,28.89,13.05,18.03
180607,CampColton,3,Ctrl,Can,2,10:03:39,1468,1.9,29.76,13.04,18.08
180607,CampColton,3,Ctrl,Can,3,10:04:09,1498.5,2.01,30.37,13,18.15
180607,CampColton,3,Ctrl,Can,4,10:04:40,1529,1.94,30.98,12.98,18.22
180607,CampColton,4,Add,IC,1,10:07:24,1693,2.46,22.72,13.29,18.06
180607,CampColton,4,Add,IC,2,10:07:53,1722.5,2.66,24.04,13.1,18.07
180607,CampColton,4,Add,IC,3,10:08:23,1752,2.65,24.87,13.05,18.08
180607,CampColton,4,Add,IC,4,10:08:52,1781.5,2.54,25.42,13.05,18.16
180607,CampColton,4,Add,Can,1,10:10:07,1856.5,2.4,25.26,13.03,18.18
180607,CampColton,4,Add,Can,2,10:10:37,1886.5,2.5,26.51,12.89,18.11
180607,CampColton,4,Add,Can,3,10:11:07,1916,2.55,26.92,12.71,18.26
180607,CampColton,4,Add,Can,4,10:11:36,1945.5,2.62,27.79,12.51,18.08
180607,CampColton,5,Exl,IC,1,10:16:35,2244,1.78,24.96,13.02,18.6
180607,CampColton,5,Exl,IC,2,10:17:06,2275,1.93,25.9,12.99,18.65
180607,CampColton,5,Exl,IC,3,10:17:36,2305.5,1.92,26.62,12.92,18.63
180607,CampColton,5,Exl,IC,4,10:18:07,2336.5,1.92,27.15,12.81,18.61
180607,CampColton,5,Exl,Can,1,10:19:33,2422,1.63,22.02,12.64,18.99
180607,CampColton,5,Exl,Can,2,10:20:02,2451,2.01,23.87,12.69,19.03
180607,CampColton,5,Exl,Can,3,10:20:31,2480,2.22,25.22,12.79,18.99
180607,CampColton,5,Exl,Can,4,10:21:00,2509,2.23,25.55,12.9,19.34
180607,CampColton,6,Add,IC,1,10:24:18,2707.5,3.89,32.91,12.48,18.98
180607,CampColton,6,Add,IC,2,10:24:48,2737.5,2.95,34.99,12.42,19.02
180607,CampColton,6,Add,IC,3,10:25:18,2767,2.75,36.33,12.46,19
180607,CampColton,6,Add,IC,4,10:25:47,2796.5,2.36,37.48,12.51,19
180607,CampColton,6,Add,Can,1,10:27:20,2889.5,1.56,25.98,12.69,19.59
180607,CampColton,6,Add,Can,2,10:27:53,2922,1.73,26.52,12.59,19.82
180607,CampColton,6,Add,Can,3,10:28:29,2958,1.68,27,12.46,19.99
180607,CampColton,6,Add,Can,4,10:29:04,2993,1.64,27.32,12.32,20.13
180607,CampColton,7,Ctrl,IC,1,10:31:57,3166,1.15,28.49,13.25,20.77
180607,CampColton,7,Ctrl,IC,2,10:32:46,3215,1.23,30.23,13.23,20.88
180607,CampColton,7,Ctrl,IC,3,10:33:39,3268,1.22,31.33,13.28,20.94
180607,CampColton,7,Ctrl,IC,4,10:34:24,3313.5,1.26,31.73,13.34,21.12
180607,CampColton,7,Ctrl,Can,1,10:35:53,3402.5,1.37,21.88,13.58,21.54
180607,CampColton,7,Ctrl,Can,2,10:36:33,3442,1.41,22.91,13.68,21.55
180607,CampColton,7,Ctrl,Can,3,10:37:17,3486.5,1.38,23.48,13.76,21.66
180607,CampColton,7,Ctrl,Can,4,10:38:01,3530.5,1.39,23.96,13.86,21.71
180607,CampColton,8,Exl,IC,1,10:40:43,3692.5,1.51,19.27,15.81,21.94
180607,CampColton,8,Exl,IC,2,10:41:23,3732.5,1.52,20.21,15.58,21.91
180607,CampColton,8,Exl,IC,3,10:42:08,3777.5,1.47,20.91,15.4,21.87
180607,CampColton,8,Exl,IC,4,10:42:49,3818.5,1.46,21.33,15.27,21.94
180607,CampColton,8,Exl,Can,1,10:44:45,3934.5,1.36,26.66,15.22,21.89
180607,CampColton,8,Exl,Can,2,10:45:29,3978.5,1.39,28.26,14.98,22.11
180607,CampColton,8,Exl,Can,3,10:46:13,4022,1.43,29.62,14.78,22
180607,CampColton,8,Exl,Can,4,10:47:00,4069,1.41,30.24,14.61,22.14
180607,CampColton,9,Ctrl,IC,1,10:49:33,4223,1.93,20.96,13.27,22.28
180607,CampColton,9,Ctrl,IC,2,10:50:05,4254,2.04,22.55,13.18,22.23
180607,CampColton,9,Ctrl,IC,3,10:50:34,4283,2.11,23.47,13.19,22.24
180607,CampColton,9,Ctrl,IC,4,10:51:03,4312,2.22,24.26,13.23,22.19
180607,CampColton,9,Ctrl,Can,1,10:52:29,4398,4.01,26.94,13.39,22.2
180607,CampColton,9,Ctrl,Can,2,10:52:59,4428,2.97,27.81,13.41,22.41
180607,CampColton,9,Ctrl,Can,3,10:53:29,4458.5,2.42,28.69,13.46,22.4
180607,CampColton,9,Ctrl,Can,4,10:53:59,4488.5,2.4,29.39,13.47,22.41
