date,site,Plot,Treatment,Microsite,Cycle,HHMMSS,FTime,EFFLUX,RHcmbr%,Tsoil_C,Tsch_C
180619,Arboretum,1,Exl,IC,1,8:43:07,1120,0.928,80.27,14.87,11.8
180619,Arboretum,1,Exl,IC,2,8:44:40,1212,1.06,81.93,14.98,11.58
180619,Arboretum,1,Exl,IC,3,8:46:04,1297,1.11,82.77,15.06,11.44
180619,Arboretum,1,Exl,IC,4,8:47:36,1388.5,1.04,83.13,15.11,11.37
180619,Arboretum,1,Exl,Can,2,8:50:42,1574.5,1.16,63.66,15.07,11.79
180619,Arboretum,1,Exl,Can,3,8:52:05,1657.5,1.13,62.42,15.07,12.01
180619,Arboretum,1,Exl,Can,4,8:53:31,1743.5,1.13,61.53,15.09,12.28
180619,Arboretum,2,Ctrl,IC,2,8:57:41,1993.5,1.55,62.63,14.01,13.29
180619,Arboretum,2,Ctrl,IC,3,8:58:41,2054,1.36,63.36,14.18,13.53
180619,Arboretum,2,Ctrl,IC,4,8:59:51,2124,1.25,63.63,14.31,13.75
180619,Arboretum,2,Ctrl,Can,2,9:03:11,2324,1.17,64.4,14.51,14.06
180619,Arboretum,2,Ctrl,Can,3,9:04:26,2399,1.14,64.09,14.56,14.25
180619,Arboretum,2,Ctrl,Can,4,9:05:42,2475,1.13,63.41,14.59,14.51
180619,Arboretum,3,Add,IC,1,9:10:13,2746,2.15,61.15,14.24,14.89
180619,Arboretum,3,Add,IC,2,9:11:31,2823.5,1.71,62.14,13.96,15.09
180619,Arboretum,3,Add,IC,3,9:12:52,2904.5,1.61,62.47,13.79,15.21
180619,Arboretum,3,Add,Can,4,9:14:13,2986,1.61,63.37,13.68,15.14
180619,Arboretum,3,Add,Can,1,9:17:51,3204,2.01,61.43,13.56,15.36
180619,Arboretum,3,Add,Can,2,9:19:23,3296,1.62,62.92,13.58,15.22
180619,Arboretum,3,Add,Can,3,9:20:53,3386,1.63,62.26,13.57,15.52
180619,Arboretum,3,Add,Can,4,9:22:23,3476,1.58,62.9,13.58,15.47
180619,Arboretum,4,Exl,IC,1,9:26:06,3699,1.5,50.76,14.85,16.62
180619,Arboretum,4,Exl,IC,2,9:27:54,3807,1.19,49.97,14.84,16.98
180619,Arboretum,4,Exl,IC,3,9:29:51,3924,1.11,48.78,14.85,17.5
180619,Arboretum,4,Exl,IC,4,9:31:47,4040,1.08,47.9,14.85,18.01
180619,Arboretum,4,Exl,Can,1,9:34:43,4215.5,1.07,46.91,14.91,18.97
180619,Arboretum,4,Exl,Can,2,9:36:39,4332,0.995,46.93,14.94,19.34
180619,Arboretum,4,Exl,Can,3,9:38:35,4448,0.962,46.67,14.96,19.72
180619,Arboretum,4,Exl,Can,4,9:40:31,4563.5,0.969,46.31,14.91,20.09
180619,Arboretum,5,Ctrl,IC,1,9:43:48,4761,1.53,49.62,12.93,20.04
180619,Arboretum,5,Ctrl,IC,2,9:45:13,4846,1.53,51.28,12.42,20.17
180619,Arboretum,5,Ctrl,IC,3,9:46:30,4923,1.59,52.46,12.03,20.21
180619,Arboretum,5,Ctrl,IC,4,9:47:49,5002,1.55,53.24,12.05,20.33
180619,Arboretum,5,Ctrl,Can,1,9:50:12,5145.5,1.48,45.33,11.97,20.69
180619,Arboretum,5,Ctrl,Can,2,9:51:27,5219.5,1.55,46.99,12.17,20.86
180619,Arboretum,5,Ctrl,Can,3,9:52:43,5296.5,1.53,47.99,12.07,20.96
180619,Arboretum,5,Ctrl,Can,4,9:53:58,5371,1.6,49.08,12.11,20.88
180619,Arboretum,6,Ctrl,IC,2,9:58:19,5632.5,1.81,44.04,12.89,21.9
180619,Arboretum,6,Ctrl,IC,3,9:59:36,5709,1.66,44.96,13.17,21.97
180619,Arboretum,6,Ctrl,IC,4,10:00:47,5780.5,1.7,44.95,13.33,22.24
180619,Arboretum,6,Ctrl,Can,1,10:03:20,5933.5,1.52,40.88,13.51,22.18
180619,Arboretum,6,Ctrl,Can,2,10:04:43,6016,1.54,43.66,13.57,22.36
