date,site,Plot,Treatment,Microsite,Cycle,HHMMSS,FTime,EFFLUX,RHcmbr%,Tsoil_C,Tsch_C
180620,BlueChute,1,Add,IC,1,9:38:36,1433.5,1.46,15.16,19.99,22.98
180620,BlueChute,1,Add,IC,2,9:39:53,1510,1.48,15.07,20.03,23.32
180620,BlueChute,1,Add,IC,3,9:41:10,1586.5,1.48,14.95,20.06,23.68
180620,BlueChute,1,Add,IC,4,9:42:02,1639.5,1.6,14.8,20.08,24.03
180620,BlueChute,1,Add,Can,1,9:43:38,1735,2.13,13.86,20.07,24.41
180620,BlueChute,1,Add,Can,2,9:44:31,1788,1.46,14.09,20.05,24.58
180620,BlueChute,1,Add,Can,3,9:45:25,1842,1.43,14.19,20.05,24.69
180620,BlueChute,1,Add,Can,4,9:46:22,1899.5,1.47,14.15,20.08,24.95
180620,BlueChute,2,Ctrl,IC,2,9:49:25,2082,2.14,13.61,21.94,26.21
180620,BlueChute,2,Ctrl,IC,3,9:50:14,2130.5,1.97,13.51,21.7,26.42
180620,BlueChute,2,Ctrl,IC,4,9:51:00,2177.5,1.89,13.42,21.61,26.61
180620,BlueChute,2,Ctrl,Can,1,9:52:14,2251.5,2.2,14.09,21.6,26.71
180620,BlueChute,2,Ctrl,Can,2,9:52:58,2295.5,1.97,13.98,21.57,26.86
180620,BlueChute,2,Ctrl,Can,3,9:53:48,2345.5,1.85,13.92,21.58,27.04
180620,BlueChute,2,Ctrl,Can,4,9:54:35,2392.5,1.92,13.89,21.59,27.2
180620,BlueChute,3,Ctrl,IC,1,9:57:02,2539,1.2,12.88,21.24,27.22
180620,BlueChute,3,Ctrl,IC,2,9:58:08,2605,1.27,13.25,20.82,27.16
180620,BlueChute,3,Ctrl,IC,3,9:59:07,2664.5,1.38,13.28,20.76,27.32
180620,BlueChute,3,Ctrl,IC,4,10:00:10,2727.5,1.38,13.42,20.77,27.35
180620,BlueChute,3,Ctrl,Can,1,10:02:42,2879,0.813,13.58,20.74,27.69
180620,BlueChute,3,Ctrl,Can,2,10:04:27,2984.5,0.939,14.03,20.76,27.65
180620,BlueChute,3,Ctrl,Can,3,10:06:00,3077,1.07,14.23,20.81,27.82
180620,BlueChute,3,Ctrl,Can,4,10:07:27,3164.5,1.1,14.32,20.78,27.93
180620,BlueChute,4,Exl,IC,1,10:10:07,3324.5,1.14,11.17,22.5,28.49
180620,BlueChute,4,Exl,IC,2,10:11:34,3411.5,1.06,11.09,21.85,28.73
180620,BlueChute,4,Exl,IC,3,10:13:07,3504,0.985,11.01,21.44,28.99
180620,BlueChute,4,Exl,IC,4,10:14:42,3599,0.952,11.04,21.2,29.18
180620,BlueChute,4,Exl,Can,1,10:16:11,3688,1.46,10.75,21.08,29.9
180620,BlueChute,4,Exl,Can,2,10:17:21,3758.5,1.33,10.65,21.05,30.11
180620,BlueChute,4,Exl,Can,3,10:18:34,3831,1.28,10.68,21.03,30.24
180620,BlueChute,4,Exl,Can,4,10:19:51,3908,1.22,10.67,20.99,30.47
180620,BlueChute,5,Ctrl,IC,2,10:22:52,4089,1.88,11.46,20.84,30.82
180620,BlueChute,5,Ctrl,IC,3,10:23:41,4138.5,1.83,11.46,20.81,30.83
180620,BlueChute,5,Ctrl,IC,4,10:24:28,4185,1.83,11.45,20.85,30.96
180620,BlueChute,5,Ctrl,Can,1,10:26:54,4331.5,1.39,10.91,21.17,31.19
180620,BlueChute,5,Ctrl,Can,2,10:27:58,4395.5,1.4,10.94,21.37,31.31
180620,BlueChute,5,Ctrl,Can,3,10:29:10,4467.5,1.34,10.97,21.54,31.42
180620,BlueChute,5,Ctrl,Can,4,10:30:26,4543,1.32,11.03,21.7,31.48
180620,BlueChute,6,Add,IC,1,10:32:53,4690,1.91,10.24,21.47,31.96
180620,BlueChute,6,Add,IC,2,10:33:56,4753,1.68,10.09,20.91,32.13
180620,BlueChute,6,Add,IC,3,10:34:52,4809,1.68,10.06,20.65,32.18
180620,BlueChute,6,Add,IC,4,10:35:51,4868,1.65,10.06,20.48,32.21
180620,BlueChute,6,Add,Can,1,10:37:41,4978,1.65,10.11,20.19,32.56
180620,BlueChute,6,Add,Can,2,10:38:50,5047,1.39,10.11,20.1,32.55
180620,BlueChute,6,Add,Can,3,10:40:04,5121.5,1.35,10.05,20.05,32.64
180620,BlueChute,6,Add,Can,4,10:41:19,5196,1.25,10.01,20.06,32.74
180620,BlueChute,8,Exl,IC,1,10:44:04,5362,1.51,9.2,23.07,33.01
180620,BlueChute,8,Exl,IC,2,10:45:18,5436,1.29,9.05,22.74,33.01
180620,BlueChute,8,Exl,IC,3,10:46:41,5518.5,1.14,8.91,22.68,33.09
180620,BlueChute,8,Exl,IC,4,10:48:07,5604.5,1.08,8.83,22.66,33.17
180620,BlueChute,8,Exl,Can,1,10:50:03,5720,1.38,9.21,22.7,33.83
180620,BlueChute,8,Exl,Can,2,10:51:40,5817.5,1.01,8.86,22.72,33.97
180620,BlueChute,8,Exl,Can,3,10:53:27,5925,0.898,8.63,22.75,34.12
180620,BlueChute,8,Exl,Can,4,10:55:16,6033.5,0.807,8.49,22.77,34.26
180620,BlueChute,9,Add,IC,1,10:57:56,6193.5,1.8,9.55,21.91,34.36
180620,BlueChute,9,Add,IC,2,10:58:58,6255.5,1.55,9.39,21.63,34.36
180620,BlueChute,9,Add,IC,3,11:00:17,6334.5,1.33,9.34,21.56,34.36
180620,BlueChute,9,Add,IC,4,11:01:40,6418,1.27,9.36,21.62,34.35
180620,BlueChute,9,Add,Can,1,11:03:35,6532.5,1.35,9.24,21.65,34.33
180620,BlueChute,9,Add,Can,2,11:04:50,6607,1.3,9.29,21.67,34.26
180620,BlueChute,9,Add,Can,3,11:06:04,6682,1.27,9.37,21.7,34.13
180620,BlueChute,9,Add,Can,4,11:07:18,6755.5,1.21,9.42,21.71,34.13
180620,BlueChute,10,Exl,IC,1,11:10:48,6965.5,0.735,9.04,24.28,34.3
180620,BlueChute,10,Exl,IC,2,11:12:47,7085,0.601,8.99,24.23,34.34
180620,BlueChute,10,Exl,IC,3,11:14:47,7204.5,0.571,8.99,24.29,34.36
180620,BlueChute,10,Exl,IC,4,11:16:49,7327,0.558,9.01,24.24,34.35
180620,BlueChute,10,Exl,Can,1,11:18:27,7424.5,1.41,7.94,24.32,34.79
180620,BlueChute,10,Exl,Can,2,11:19:53,7510.5,1.13,7.79,24.41,34.87
180620,BlueChute,10,Exl,Can,3,11:21:32,7610,0.955,7.63,24.43,35.03
180620,BlueChute,10,Exl,Can,4,11:23:27,7724.5,0.834,7.5,24.52,35.14
