date,site,Plot,Treatment,Microsite,Cycle,HHMMSS,FTime,EFFLUX,RHcmbr%,Tsoil_C,Tsch_C
180726,BlackPoint,1,Exl,IC,1,9:29:48,895.5,0.368,20.38,27.62,26.21
180726,BlackPoint,1,Exl,IC,2,9:32:07,1035,0.214,20.51,27.6,26.82
180726,BlackPoint,1,Exl,IC,3,9:34:22,1169.5,0.318,20.52,27.55,27.37
180726,BlackPoint,1,Exl,IC,4,9:37:12,1339.5,0.309,20.56,27.53,28
180726,BlackPoint,1,Exl,Can,1,9:39:27,1475,0.208,20.77,27.59,28.4
180726,BlackPoint,1,Exl,Can,2,9:41:36,1603.5,0.291,21.41,27.63,28.65
180726,BlackPoint,1,Exl,Can,3,9:43:47,1735.5,0.287,21.87,27.71,28.84
180726,BlackPoint,1,Exl,Can,4,9:45:59,1867.5,0.291,22.21,27.74,29.06
180726,BlackPoint,3,Ctrl,IC,1,9:49:54,2102,0.495,20.08,27.71,29.63
180726,BlackPoint,3,Ctrl,IC,2,9:51:49,2217.5,0.488,21.52,27.78,29.87
180726,BlackPoint,3,Ctrl,IC,3,9:53:45,2333.5,0.49,22.53,27.82,30.1
180726,BlackPoint,3,Ctrl,IC,4,9:55:41,2449.5,0.497,23.39,27.85,30.34
180726,BlackPoint,3,Ctrl,Can,1,9:58:02,2590,0.532,19.87,27.86,30.41
180726,BlackPoint,3,Ctrl,Can,2,9:59:57,2705,0.54,21.17,27.87,30.48
180726,BlackPoint,3,Ctrl,Can,3,10:02:02,2830,0.549,22.38,27.87,30.53
180726,BlackPoint,3,Ctrl,Can,4,10:04:07,2955.5,0.556,23.25,27.88,30.67
180726,BlackPoint,9,Add,IC,1,10:07:48,3176,0.417,18.21,28.46,31.4
180726,BlackPoint,9,Add,IC,2,10:09:54,3302,0.416,19.32,28.49,31.72
180726,BlackPoint,9,Add,IC,3,10:11:49,3417,0.418,20.06,28.56,32.03
180726,BlackPoint,9,Add,IC,4,10:13:42,3530.5,0.398,20.61,28.65,32.38
180726,BlackPoint,9,Add,Can,1,10:16:07,3675.5,0.446,16.71,28.7,32.58
180726,BlackPoint,9,Add,Can,2,10:18:10,3798,0.458,17.8,28.66,32.56
180726,BlackPoint,9,Add,Can,3,10:20:03,3911,0.469,18.6,28.72,32.5
180726,BlackPoint,9,Add,Can,4,10:21:59,4027,0.464,19.32,28.72,32.43
180726,BlackPoint,2,Exl,IC,1,10:25:31,4239.5,0.376,15.22,30.12,33.6
180726,BlackPoint,2,Exl,IC,2,10:27:34,4362.5,0.336,15.61,30.06,33.9
180726,BlackPoint,2,Exl,IC,3,10:29:37,4485.5,0.306,15.93,30.09,34.07
180726,BlackPoint,2,Exl,IC,4,10:31:51,4619,0.266,16.16,30.12,34.28
180726,BlackPoint,2,Exl,Can,1,10:34:30,4778.5,0.329,14.83,30.17,34.96
180726,BlackPoint,2,Exl,Can,2,10:36:35,4903.5,0.377,15.64,30.23,35.39
180726,BlackPoint,2,Exl,Can,3,10:38:53,5041,0.35,16.24,30.29,35.77
180726,BlackPoint,2,Exl,Can,4,10:41:10,5178.5,0.361,16.67,30.33,36.2
180726,BlackPoint,5,Ctrl,IC,1,10:45:31,5439,0.49,14.49,29.1,37.3
180726,BlackPoint,5,Ctrl,IC,2,10:47:48,5576.5,0.484,15.45,29.23,37.9
180726,BlackPoint,5,Ctrl,IC,3,10:50:11,5719,0.473,16.21,29.35,38.39
180726,BlackPoint,5,Ctrl,IC,4,10:52:36,5864,0.469,16.95,29.5,38.87
180726,BlackPoint,5,Ctrl,Can,1,10:55:26,6034.5,0.662,14.04,29.56,39.44
180726,BlackPoint,5,Ctrl,Can,2,10:57:39,6167.5,0.613,15.02,29.67,39.57
180726,BlackPoint,5,Ctrl,Can,3,10:59:52,6301,0.613,15.77,29.81,39.77
180726,BlackPoint,5,Ctrl,Can,4,11:01:54,6423,0.617,16.28,29.92,40.02
180726,BlackPoint,10,Add,IC,1,11:05:29,6637.5,0.684,12.06,29.85,40.24
180726,BlackPoint,10,Add,IC,2,11:07:23,6751.5,0.587,13.17,29.84,40.23
180726,BlackPoint,10,Add,IC,3,11:09:16,6865,0.592,13.96,29.96,40.24
180726,BlackPoint,10,Add,IC,4,11:11:10,6978.5,0.609,14.64,30.05,40.19
180726,BlackPoint,10,Add,Can,1,11:13:22,7110.5,0.704,12.76,30.14,40.6
180726,BlackPoint,10,Add,Can,2,11:15:17,7226,0.719,13.91,30.21,40.64
180726,BlackPoint,10,Add,Can,3,11:17:12,7341,0.709,14.8,30.28,40.7
180726,BlackPoint,10,Add,Can,4,11:19:07,7456,0.72,15.5,30.37,40.8
180726,BlackPoint,11,Add,IC,1,11:23:56,7745,0.54,13.08,30.91,41.29
180726,BlackPoint,11,Add,IC,2,11:25:50,7859,0.559,14.25,30.94,41.53
180726,BlackPoint,11,Add,IC,3,11:27:48,7977,0.593,15.15,31.06,41.78
180726,BlackPoint,11,Add,IC,4,11:29:47,8095.5,0.607,15.99,31.16,41.89
