date,site,Plot,Treatment,Microsite,Cycle,HHMMSS,FTime,EFFLUX,RHcmbr%,Tsoil_C,Tsch_C
180914,Antelope,1,Add,IC,1,9:44:43,185.5,0.982,2.72,20.13,17.71
180914,Antelope,1,Add,IC,2,9:46:13,275,1.18,2.89,20.1,18.22
180914,Antelope,1,Add,IC,3,9:47:39,361,1.18,3,20.08,18.69
180914,Antelope,1,Add,IC,4,9:49:01,443.5,1.21,3.17,20.07,19.16
180914,Antelope,1,Add,Can,1,9:51:43,605.5,0.451,0.63,20.1,20.45
180914,Antelope,1,Add,Can,2,9:53:36,718,0.477,1.87,20.12,21.03
180914,Antelope,1,Add,Can,3,9:55:29,831,0.469,2.72,20.12,21.6
180914,Antelope,1,Add,Can,4,9:57:22,944.5,0.467,3.38,20.16,22.14
180914,Antelope,3,Ctrl,IC,1,10:00:32,1134.5,0.38,-1.36,20.33,22.54
180914,Antelope,3,Ctrl,IC,2,10:02:31,1253,0.393,-0.71,20.41,22.77
180914,Antelope,3,Ctrl,IC,3,10:04:24,1366.5,0.366,-0.28,20.48,22.88
180914,Antelope,3,Ctrl,IC,4,10:06:22,1484.5,0.382,0.1,20.6,23.05
180914,Antelope,3,Ctrl,Can,1,10:08:41,1623.5,0.261,-0.39,20.71,23.1
180914,Antelope,3,Ctrl,Can,2,10:10:36,1738.5,0.292,0.34,20.72,23.28
180914,Antelope,3,Ctrl,Can,3,10:12:49,1871,0.326,0.98,20.8,23.63
180914,Antelope,3,Ctrl,Can,4,10:14:47,1989.5,0.293,1.46,20.81,23.9
180914,Antelope,4,Exl,IC,1,10:18:46,2228.5,0.439,-0.43,22.75,25.27
180914,Antelope,4,Exl,IC,2,10:21:11,2374,0.256,-0.13,22.94,25.67
180914,Antelope,4,Exl,IC,3,10:23:40,2523,0.235,0.27,23.06,26.13
180914,Antelope,4,Exl,IC,4,10:25:57,2659.5,0.276,0.64,23.17,26.51
180914,Antelope,4,Exl,Can,1,10:28:47,2829.5,0.581,1.99,23.29,26.93
180914,Antelope,4,Exl,Can,2,10:30:42,2945,0.568,2.59,23.34,27.3
180914,Antelope,4,Exl,Can,3,10:32:43,3065.5,0.562,3.06,23.41,27.61
180914,Antelope,4,Exl,Can,4,10:34:38,3180.5,0.544,3.51,23.5,27.87
180914,Antelope,2,Add,IC,1,10:37:47,3370,0.927,2.41,22.31,28.02
180914,Antelope,2,Add,IC,2,10:39:28,3471,1.02,3.13,22.36,28.19
180914,Antelope,2,Add,IC,3,10:41:30,3593,0.957,3.66,22.38,28.18
180914,Antelope,2,Add,IC,4,10:43:19,3702,0.95,4.04,22.42,28.2
180914,Antelope,2,Add,Can,1,10:45:43,3845,0.96,0.29,22.48,28.08
180914,Antelope,2,Add,Can,2,10:47:28,3951,0.936,0.76,22.48,28.15
