date,site,Plot,Treatment,Microsite,Cycle,HHMMSS,FTime,EFFLUX,RHcmbr%,Tsoil_C,Tsch_C
180605,Arboretum,1,Exl,IC,2,10:36:23,808.5,1.1,20.3,17.15,28.03
180605,Arboretum,1,Exl,IC,3,10:36:51,836.5,2.31,20.36,16.98,28.06
180605,Arboretum,1,Exl,IC,4,10:37:19,864.5,2.15,20.47,16.9,28.09
180605,Arboretum,1,Exl,Can,1,10:38:32,937.5,0.789,14.91,16.79,28.34
180605,Arboretum,1,Exl,Can,2,10:39:18,983.5,0.771,14.66,16.77,28.12
180605,Arboretum,1,Exl,Can,3,10:40:05,1031,0.835,14.5,16.74,27.93
180605,Arboretum,1,Exl,Can,4,10:40:55,1080.5,0.724,14.46,16.74,27.73
180605,Arboretum,2,Ctrl,IC,2,10:45:07,1333,0.606,22.64,15.7,27.23
180605,Arboretum,2,Ctrl,IC,3,10:46:07,1393,0.649,22.83,15.82,27.33
180605,Arboretum,2,Ctrl,IC,4,10:47:08,1453.5,0.637,22.81,15.98,27.47
180605,Arboretum,2,Ctrl,Can,1,10:48:05,1510.5,-0.303,20.42,16.12,27.6
180605,Arboretum,2,Ctrl,Can,2,10:48:33,1538.5,0.459,20.69,16.13,27.58
180605,Arboretum,2,Ctrl,Can,3,10:49:01,1566.5,1.11,20.55,16.17,27.64
180605,Arboretum,2,Ctrl,Can,4,10:49:29,1594.5,1.19,20.46,16.17,27.64
180605,Arboretum,3,Add,IC,3,10:55:27,1953,3.74,18.82,16.61,28.03
180605,Arboretum,3,Add,IC,4,10:55:56,1981.5,4.22,19.03,16.41,27.97
180605,Arboretum,3,Add,Can,1,10:57:06,2052,0.191,16.95,16.11,27.44
180605,Arboretum,3,Add,Can,2,10:57:38,2084,0.845,17.24,15.98,27.39
180605,Arboretum,3,Add,Can,3,10:58:34,2140.5,0.723,17.72,15.88,27.28
180605,Arboretum,3,Add,Can,4,10:59:28,2194,0.692,18.05,15.83,27.14
180605,Arboretum,4,Exl,IC,2,11:01:41,2327,1.46,15.89,18.84,28.64
180605,Arboretum,4,Exl,IC,3,11:02:10,2355.5,2.62,15.46,18.74,28.66
180605,Arboretum,4,Exl,IC,4,11:02:38,2384,1.49,15.06,18.68,28.7
180605,Arboretum,4,Exl,Can,2,11:05:31,2557,0.645,16.27,18.8,28.47
180605,Arboretum,4,Exl,Can,3,11:06:31,2617,0.643,16.17,18.88,28.35
180605,Arboretum,4,Exl,Can,4,11:07:32,2678.5,0.675,16.12,18.93,28.32
180605,Arboretum,6,Ctrl,IC,2,11:11:08,2894,0.889,16.25,17.51,28.3
180605,Arboretum,6,Ctrl,IC,3,11:11:50,2936,0.883,16.11,17.39,28.26
180605,Arboretum,6,Ctrl,IC,4,11:12:35,2981,0.883,16,17.32,28.22
180605,Arboretum,6,Ctrl,Can,2,11:14:51,3117,0.923,19.18,17.29,27.46
180605,Arboretum,6,Ctrl,Can,3,11:15:32,3158.5,0.931,19.45,17.31,27.42
180605,Arboretum,6,Ctrl,Can,4,11:16:13,3199.5,0.951,19.62,17.33,27.4
180605,Arboretum,5,Ctrl,IC,2,11:19:14,3380.5,1.03,18.27,16.25,27.81
