date,site,Plot,Treatment,Microsite,Cycle,HHMMSS,FTime,EFFLUX,RHcmbr%,Tsoil_C,Tsch_C
180606,BlackPoint,10,Add,IC,1,13:36:39,432.5,0.0992,4.13,37.93,36.29
180606,BlackPoint,10,Add,IC,2,13:40:33,666.5,0.108,4.06,38.33,36.67
180606,BlackPoint,10,Add,IC,3,13:45:03,936.5,0.087,4.04,38.45,37.25
180606,BlackPoint,10,Add,IC,4,13:49:20,1194,0.137,4.11,38.6,37.46
180606,BlackPoint,10,Add,Can,1,13:54:03,1476.5,0.0763,4.31,37.11,37.8
180606,BlackPoint,10,Add,Can,2,13:58:26,1739.5,0.1,4.53,37.2,37.73
180606,BlackPoint,10,Add,Can,3,14:02:46,1999.5,0.11,4.75,37.16,37.48
180606,BlackPoint,10,Add,Can,4,14:07:05,2258.5,0.129,4.91,37.23,37.45
180606,BlackPoint,9,Add,IC,1,14:34:47,3921,0.447,3.97,36.22,36.87
180606,BlackPoint,9,Add,IC,2,14:41:34,4328,0.023,4.07,36.33,37.09
180606,BlackPoint,9,Add,IC,3,14:47:57,4711,0.0477,4.07,36.31,37.76
180606,BlackPoint,9,Add,IC,4,14:53:47,5061,0.105,3.97,35.98,39.41
180606,BlackPoint,9,Add,Can,2,15:02:21,5575,0.0341,3.21,36.52,41.85
180606,BlackPoint,9,Add,Can,3,15:09:30,6004.5,0.119,3.39,37.49,41.8
180606,BlackPoint,9,Add,Can,4,15:14:28,6302,0.00152,3.64,37.61,41.09
180606,BlackPoint,11,Add,IC,1,15:20:12,6646,0.121,2.9,40.22,41.27
180606,BlackPoint,11,Add,IC,2,15:24:08,6882.5,0.115,2.98,40.45,40.93
180606,BlackPoint,11,Add,IC,3,15:28:19,7133.5,0.0548,3.06,40.54,40.93
180606,BlackPoint,11,Add,IC,4,15:32:27,7381.5,0.12,3.13,40.75,41.34
180606,BlackPoint,11,Add,Can,1,15:34:54,7528,0.42,3.3,40.86,42.96
180606,BlackPoint,11,Add,Can,3,15:44:57,8131,0.0587,2.8,41.17,45.02
180606,BlackPoint,11,Add,Can,4,15:50:22,8457,0.246,2.88,41.31,45.27
