date,site,Plot,Treatment,Microsite,Cycle,HHMMSS,FTime,EFFLUX,RHcmbr%,Tsoil_C,Tsch_C
180702,Antelope,1,Add,IC,1,10:05:40,1457,0.124,9.09,30.19,32.59
180702,Antelope,1,Add,IC,2,10:08:43,1640,0.119,9.05,30.27,33.46
180702,Antelope,1,Add,IC,3,10:12:04,1841,0.207,9.06,30.35,34.25
180702,Antelope,1,Add,IC,4,10:15:55,2071.5,0.168,9.1,30.37,35.01
180702,Antelope,1,Add,Can,1,10:21:31,2407.5,0.103,7.68,30.38,36.02
180702,Antelope,1,Add,Can,2,10:25:14,2631,0.136,7.76,30.53,36.44
180702,Antelope,1,Add,Can,3,10:28:48,2845.5,0.101,7.83,30.64,36.92
180702,Antelope,1,Add,Can,4,10:32:17,3054.5,0.072,7.96,30.67,37.17
180702,Antelope,3,Ctrl,IC,1,10:36:37,3314.5,0.16,7.23,30.36,36.43
180702,Antelope,3,Ctrl,IC,2,10:39:24,3481,0.165,7.54,30.06,36.13
180702,Antelope,3,Ctrl,IC,3,10:42:07,3644,0.193,7.75,29.65,36.02
180702,Antelope,3,Ctrl,IC,4,10:44:51,3808,0.142,7.93,29.68,35.89
180702,Antelope,3,Ctrl,Can,1,10:48:37,4034,0.0999,6.53,29.95,36.36
180702,Antelope,3,Ctrl,Can,2,10:51:44,4221,0.0892,6.48,29.92,36.2
180702,Antelope,3,Ctrl,Can,3,10:55:11,4428,0.114,6.56,29.92,35.97
180702,Antelope,3,Ctrl,Can,4,10:58:34,4631,0.117,6.65,29.58,35.92
180702,Antelope,4,Exl,IC,1,11:03:50,4947,0.128,5.56,32.55,37.88
180702,Antelope,4,Exl,IC,,11:06:58,5135,0.18,5.29,32.37,38.45
180702,Antelope,4,Exl,IC,3,11:10:06,5323,0.153,5.19,32.7,38.99
180702,Antelope,4,Exl,IC,4,11:13:22,5519,0.106,5.16,32.89,39.62
180702,Antelope,4,Exl,Can,1,11:17:19,5756,0.194,4.85,32.98,40.41
180702,Antelope,4,Exl,Can,2,11:20:23,5940.5,0.172,4.86,33.11,40.64
180702,Antelope,4,Exl,Can,3,11:23:19,6116.5,0.162,4.98,33.31,40.68
180702,Antelope,4,Exl,Can,4,11:25:39,6256.5,0.153,5.05,33.39,40.76
180702,Antelope,2,Add,IC,1,11:30:04,6521.5,-0.156,4.7,33.55,40.88
180702,Antelope,2,Add,IC,2,11:33:28,6725,0.11,4.55,33.69,40.7
180702,Antelope,2,Add,IC,3,11:36:24,6901.5,0.105,4.54,33.79,40.65
180702,Antelope,2,Add,IC,4,11:39:22,7079.5,0.0585,4.5,33.85,40.89
180702,Antelope,2,Add,Can,1,11:42:40,7277.5,0.218,4.88,34.09,41.23
180702,Antelope,2,Add,Can,2,11:45:22,7440,0.185,5.02,34.26,41.13
180702,Antelope,2,Add,Can,3,11:47:59,7597,0.128,5.1,34.36,41
180702,Antelope,2,Add,Can,4,11:51:06,7783.5,0.167,5.1,34.46,41.02
180702,Antelope,6,Exl,IC,1,11:56:17,8095,0.225,4.32,34.67,42.41
180702,Antelope,6,Exl,IC,2,11:58:40,8237.5,0.228,4.19,34.66,42.74
180702,Antelope,6,Exl,IC,3,12:01:05,8383,0.196,4.18,34.77,42.82
180702,Antelope,6,Exl,IC,4,12:03:27,8525,0.176,4.17,34.86,42.91
180702,Antelope,6,Exl,Can,1,12:06:55,8732.5,0.0462,4.39,35.01,43.7
180702,Antelope,6,Exl,Can,2,12:09:58,8915.5,0.118,4.41,35.14,43.69
180702,Antelope,6,Exl,Can,3,12:13:04,9102,0.109,4.51,35.3,43.62
180702,Antelope,6,Exl,Can,4,12:16:12,9289.5,0.164,4.56,35.59,43.61
180702,Antelope,7,Ctrl,IC,1,12:22:36,9674,0.04,4.13,35.72,43.55
180702,Antelope,7,Ctrl,IC,2,12:26:25,9903,-0.224,4.19,35.99,43.08
180702,Antelope,7,Ctrl,IC,3,12:30:06,10124,0.0908,10.2,36.06,42.76
180702,Antelope,7,Ctrl,Can,1,12:36:08,10485.5,0.137,3.62,36.17,44.09
