date,site,Plot,Treatment,Microsite,Cycle,HHMMSS,FTime,EFFLUX,RHcmbr%,Tsoil_C,Tsch_C
180704,BlackPoint,1,Exl,IC,1,9:23:57,246.5,0.214,16.58,27.47,26.2
180704,BlackPoint,1,Exl,IC,2,9:27:01,430.5,0.26,16.24,27.57,26.82
180704,BlackPoint,1,Exl,IC,3,9:30:15,625,0.243,15.91,27.62,27.45
180704,BlackPoint,1,Exl,IC,4,9:32:46,775.5,0.245,15.75,27.62,27.83
180704,BlackPoint,1,Exl,Can,1,9:35:16,925.5,0.0146,15.75,27.6,27.88
180704,BlackPoint,1,Exl,Can,2,9:38:24,1113.5,0.211,16.15,27.62,27.76
180704,BlackPoint,1,Exl,Can,3,9:41:31,1301,0.206,16.44,27.7,27.61
180704,BlackPoint,1,Exl,Can,4,9:44:36,1485.5,0.196,16.67,27.74,27.47
180704,BlackPoint,3,Ctrl,IC,1,9:48:08,1697.5,0.346,15.77,27.78,28.2
180704,BlackPoint,3,Ctrl,IC,2,9:50:37,1846.5,0.301,15.6,27.8,28.55
180704,BlackPoint,3,Ctrl,IC,3,9:52:53,1982.5,0.294,15.46,27.89,28.94
180704,BlackPoint,3,Ctrl,IC,4,9:55:39,2148.5,0.304,15.38,27.98,29.37
180704,BlackPoint,3,Ctrl,Can,1,9:58:17,2306.5,0.189,16.46,28.06,28.95
180704,BlackPoint,3,Ctrl,Can,2,10:01:28,2497.5,0.221,17.16,28.12,28.84
180704,BlackPoint,3,Ctrl,Can,3,10:04:32,2682,0.181,17.62,28.17,28.75
180704,BlackPoint,3,Ctrl,Can,4,10:07:31,2860.5,0.221,17.83,28.22,28.8
180704,BlackPoint,9,Add,IC,1,10:11:30,3099.5,0.702,13.93,27.8,29.86
180704,BlackPoint,9,Add,IC,2,10:13:24,3213.5,0.424,13.64,27.91,30.29
180704,BlackPoint,9,Add,IC,3,10:15:17,3326.5,0.368,13.53,28.01,30.57
180704,BlackPoint,9,Add,IC,4,10:17:09,3439,0.352,13.38,28.08,30.91
180704,BlackPoint,9,Add,Can,1,10:19:25,3574.5,0.402,12.95,28.16,31.55
180704,BlackPoint,9,Add,Can,2,10:21:17,3687,0.361,12.7,28.2,31.73
180704,BlackPoint,9,Add,Can,3,10:23:10,3800,0.323,12.6,28.27,31.85
180704,BlackPoint,9,Add,Can,4,10:25:03,3912.5,0.278,12.49,28.33,32.03
180704,BlackPoint,2,Exl,IC,1,10:28:29,4119,0.502,11.13,31.02,33
180704,BlackPoint,2,Exl,IC,2,10:30:23,4232.5,0.346,10.8,30.92,33.13
180704,BlackPoint,2,Exl,IC,3,10:32:17,4346.5,0.291,10.55,30.99,33.35
180704,BlackPoint,2,Exl,IC,4,10:34:24,4473.5,0.28,10.42,31.04,33.43
180704,BlackPoint,2,Exl,Can,1,10:36:54,4623.5,0.287,11.03,31.17,33.99
180704,BlackPoint,2,Exl,Can,2,10:38:55,4744.5,0.261,10.97,31.24,34.01
180704,BlackPoint,2,Exl,Can,3,10:41:12,4882,0.254,10.91,31.36,34.16
180704,BlackPoint,2,Exl,Can,4,10:43:18,5008,0.238,10.83,31.63,34.35
180704,BlackPoint,5,Ctrl,IC,1,10:47:14,5244,0.332,10.76,28.42,34.37
180704,BlackPoint,5,Ctrl,IC,2,10:49:12,5362,0.311,10.65,28.45,34.46
180704,BlackPoint,5,Ctrl,IC,3,10:51:33,5503,0.292,10.7,28.59,34.4
180704,BlackPoint,5,Ctrl,IC,4,10:54:05,5655,0.268,10.78,28.67,34.38
180704,BlackPoint,5,Ctrl,Can,1,10:56:32,5802,0.349,11.32,28.74,34.56
180704,BlackPoint,5,Ctrl,Can,2,10:58:27,5917,0.286,11.48,28.84,34.49
180704,BlackPoint,5,Ctrl,Can,3,11:00:34,6044.5,0.314,11.7,28.92,34.36
180704,BlackPoint,5,Ctrl,Can,4,11:02:30,6160,0.246,11.86,29.02,34.28
180704,BlackPoint,10,Add,IC,1,11:05:57,6367,0.39,10.4,29.77,34.6
180704,BlackPoint,10,Add,IC,2,11:07:55,6485,0.36,10.12,29.97,34.91
180704,BlackPoint,10,Add,IC,3,11:09:54,6604,0.322,9.95,30.19,35.24
180704,BlackPoint,10,Add,IC,4,11:11:56,6726.5,0.326,9.82,30.33,35.54
180704,BlackPoint,10,Add,Can,1,11:14:34,6884.5,0.578,10.28,30.61,36.35
180704,BlackPoint,10,Add,Can,2,11:16:28,6998,0.376,10.01,30.75,36.59
180704,BlackPoint,10,Add,Can,3,11:18:21,7111,0.316,9.86,30.92,36.81
180704,BlackPoint,10,Add,Can,4,11:20:13,7223.5,0.3,9.79,31.05,36.92
180704,BlackPoint,4,Exl,IC,1,11:24:12,7462,0.41,9.65,33.16,37.04
180704,BlackPoint,4,Exl,IC,2,11:26:12,7582.5,0.315,9.43,33.41,37.3
180704,BlackPoint,4,Exl,IC,3,11:28:14,7704.5,0.261,9.25,33.61,37.61
180704,BlackPoint,4,Exl,IC,4,11:30:34,7844,0.282,9.21,33.77,37.63
180704,BlackPoint,4,Exl,Can,1,11:33:51,8040.5,0.219,8.65,33.9,37.41
180704,BlackPoint,4,Exl,Can,2,11:37:10,8239.5,0.188,8.64,34.07,37.3
180704,BlackPoint,4,Exl,Can,3,11:40:29,8439,0.149,8.59,34.25,37.43
180704,BlackPoint,4,Exl,Can,4,11:43:59,8648.5,0.19,8.87,34.36,36.8
180704,BlackPoint,8,Ctrl,IC,1,11:48:32,8921.5,0.391,9.31,31.29,35.79
180704,BlackPoint,8,Ctrl,IC,2,11:51:32,9101.5,0.333,9.16,31.22,35.89
