date,site,Plot,Treatment,Microsite,Cycle,HHMMSS,FTime,EFFLUX,RHcmbr%,Tsoil_C,Tsch_C
180725,BlueChute,1,Add,IC,1,9:26:05,884.5,1.66,57.82,19.06,23.35
180725,BlueChute,1,Add,IC,2,9:27:21,960.5,1.42,61.17,19.05,23.53
180725,BlueChute,1,Add,IC,3,9:28:33,1032,1.5,62.42,19.09,23.64
180725,BlueChute,1,Add,IC,4,9:29:38,1097.5,1.52,63.01,19.13,23.76
180725,BlueChute,1,Add,Can,1,9:31:32,1211,1.45,58.18,19.17,23.88
180725,BlueChute,1,Add,Can,2,9:32:41,1280.5,1.47,59.71,19.17,24.07
180725,BlueChute,1,Add,Can,3,9:33:49,1348.5,1.52,60.86,19.19,24.11
180725,BlueChute,1,Add,Can,4,9:34:55,1414.5,1.53,62.11,19.18,24.04
180725,BlueChute,2,Ctrl,IC,1,9:37:33,1572,1.22,48.4,20.98,25.3
180725,BlueChute,2,Ctrl,IC,2,9:39:01,1660,1.16,49.21,21.03,25.87
180725,BlueChute,2,Ctrl,IC,3,9:40:25,1744,1.19,49.18,21.06,26.39
180725,BlueChute,2,Ctrl,IC,4,9:41:43,1822,1.24,48.74,21.02,26.92
180725,BlueChute,2,Ctrl,Can,1,9:43:47,1946.5,1.04,42.56,20.98,27.58
180725,BlueChute,2,Ctrl,Can,2,9:45:32,2051.5,1.02,43.95,20.97,27.99
180725,BlueChute,2,Ctrl,Can,3,9:47:09,2149,1.04,44.64,20.98,28.3
180725,BlueChute,2,Ctrl,Can,4,9:48:36,2235.5,1.15,44.61,21.01,28.71
180725,BlueChute,4,Exl,IC,1,9:52:09,2449,0.463,32.53,22.58,29.52
180725,BlueChute,4,Exl,IC,2,9:54:16,2575.5,0.481,33.32,22.46,30.02
180725,BlueChute,4,Exl,IC,3,9:56:16,2695.5,0.484,33.78,22.42,30.43
180725,BlueChute,4,Exl,IC,4,9:58:14,2813.5,0.505,34.15,22.42,30.8
180725,BlueChute,4,Exl,Can,1,10:00:51,2971,0.605,30.64,22.46,31.68
180725,BlueChute,4,Exl,Can,2,10:02:44,3084,0.637,32,22.5,31.83
180725,BlueChute,4,Exl,Can,3,10:04:37,3197,0.66,32.98,22.53,31.97
180725,BlueChute,4,Exl,Can,4,10:06:31,3310.5,0.648,33.51,22.57,32.24
180725,BlueChute,3,Ctrl,IC,1,10:09:48,3508,0.954,31.83,20.93,32.02
180725,BlueChute,3,Ctrl,IC,2,10:11:11,3591,1.04,34.12,20.96,31.95
180725,BlueChute,3,Ctrl,IC,3,10:12:43,3682.5,1.04,35.96,20.88,31.85
180725,BlueChute,3,Ctrl,IC,4,10:14:15,3774.5,1.07,36.84,20.8,32.07
180725,BlueChute,3,Ctrl,Can,1,10:16:37,3916.5,0.994,31.15,20.76,31.63
180725,BlueChute,3,Ctrl,Can,2,10:17:59,3999,1.2,33.34,20.74,31.73
180725,BlueChute,3,Ctrl,Can,3,10:19:09,4069,1.27,34.8,20.73,31.7
180725,BlueChute,3,Ctrl,Can,4,10:20:19,4138.5,1.29,35.96,20.71,31.7
180725,BlueChute,6,Add,IC,1,10:22:47,4287,2.32,39.67,20.44,32.64
180725,BlueChute,6,Add,IC,2,10:23:36,4336,2.26,43.14,20.37,32.59
180725,BlueChute,6,Add,IC,3,10:24:18,4378,2.3,44.58,20.31,32.71
180725,BlueChute,6,Add,IC,4,10:25:02,4421.5,2.29,45.81,20.31,32.74
180725,BlueChute,6,Add,Can,1,10:28:49,4648.5,1.98,43.6,20.25,33.29
180725,BlueChute,6,Add,Can,2,10:29:44,4703.5,2,44.79,20.26,33.41
180725,BlueChute,6,Add,Can,3,10:30:39,4758.5,1.95,45.47,20.27,33.53
180725,BlueChute,6,Add,Can,4,10:31:33,4813,1.97,46.17,20.31,33.55
180725,BlueChute,8,Exl,IC,1,10:34:39,4998.5,0.96,23.75,23.44,34.04
180725,BlueChute,8,Exl,IC,2,10:35:58,5078,1.07,24.32,23.28,34.21
180725,BlueChute,8,Exl,IC,3,10:37:15,5155,1.06,24.75,23.29,34.28
180725,BlueChute,8,Exl,IC,4,10:38:47,5247,0.962,25.11,23.33,34.36
180725,BlueChute,8,Exl,Can,1,10:41:27,5406.5,0.66,22.62,23.45,34.68
180725,BlueChute,8,Exl,Can,2,10:43:34,5533.5,0.617,23.57,23.52,34.85
180725,BlueChute,8,Exl,Can,3,10:45:31,5651,0.617,24.11,23.62,34.96
180725,BlueChute,8,Exl,Can,4,10:47:42,5781.5,0.601,24.65,23.69,34.98
180725,BlueChute,5,Ctrl,IC,1,10:50:17,5937,1.51,26.21,22.26,34.98
180725,BlueChute,5,Ctrl,IC,2,10:51:12,5992,1.53,27.67,22.15,35.01
180725,BlueChute,5,Ctrl,IC,3,10:52:10,6050,1.62,28.56,22.13,35.13
180725,BlueChute,5,Ctrl,IC,4,10:53:04,6103.5,1.55,29.21,22.12,35.22
180725,BlueChute,5,Ctrl,Can,1,10:56:56,6336,1.12,25.47,22.1,35.24
180725,BlueChute,5,Ctrl,Can,2,10:58:10,6409.5,1.16,26.63,22.08,35.28
180725,BlueChute,5,Ctrl,Can,3,10:59:24,6484,1.15,27.44,22.09,35.38
180725,BlueChute,5,Ctrl,Can,4,11:00:43,6562.5,1.12,28.21,22.26,35.43
180725,BlueChute,9,Add,IC,1,11:05:15,6835.5,2.19,33.55,21.55,35.74
180725,BlueChute,9,Add,IC,2,11:06:09,6889,2,35.1,21.34,35.8
180725,BlueChute,9,Add,IC,3,11:07:07,6947,1.96,36.4,21.16,35.84
180725,BlueChute,9,Add,IC,4,11:08:07,7007.5,1.94,37.56,21.04,35.84
180725,BlueChute,9,Add,Can,1,11:13:26,7326,2,31.39,20.34,35.79
180725,BlueChute,9,Add,Can,2,11:14:22,7381.5,1.85,32.68,20.4,35.64
180725,BlueChute,9,Add,Can,3,11:15:16,7436,1.85,33.64,20.62,35.57
180725,BlueChute,9,Add,Can,4,11:16:12,7492,1.82,34.55,20.88,35.44
180725,BlueChute,10,Exl,IC,1,11:19:34,7693.5,0.916,24.25,25.28,35.92
180725,BlueChute,10,Exl,IC,2,11:21:18,7798.5,0.892,25.18,25.47,36.15
180725,BlueChute,10,Exl,IC,3,11:23:11,7911,0.876,25.81,25.65,36.35
180725,BlueChute,10,Exl,IC,4,11:24:59,8019,0.865,26.14,25.79,36.61
180725,BlueChute,10,Exl,Can,1,11:27:18,8157.5,0.931,20.64,25.9,37.4
180725,BlueChute,10,Exl,Can,2,11:28:46,8246.5,0.901,21.06,25.95,37.7
180725,BlueChute,10,Exl,Can,3,11:30:25,8345.5,0.856,21.43,26.01,37.93
180725,BlueChute,10,Exl,Can,4,11:32:00,8440,0.904,21.74,26.14,38.12
