date,site,Plot,Treatment,Microsite,Cycle,HHMMSS,FTime,EFFLUX,RHcmbr%,Tsoil_C,Tsch_C
180815,CampColton,1,Ctrl,IC,1,9:23:17,819,3.29,54.62,12.91,13.54
180815,CampColton,1,Ctrl,IC,2,9:24:06,868.5,2.92,54.68,12.92,13.59
180815,CampColton,1,Ctrl,IC,3,9:25:00,922,2.88,54.96,12.92,13.59
180815,CampColton,1,Ctrl,IC,4,9:25:50,972.5,2.85,54.95,12.92,13.65
180815,CampColton,1,Ctrl,Can,1,9:29:19,1181,1.47,55.48,12.94,13.74
180815,CampColton,1,Ctrl,Can,2,9:31:17,1299,1.49,55.6,12.92,13.81
180815,CampColton,1,Ctrl,Can,3,9:33:15,1417,1.45,55.62,12.91,13.84
180815,CampColton,1,Ctrl,Can,4,9:35:13,1535,1.46,55.29,12.91,13.98
180815,CampColton,2,Exl,IC,1,9:38:02,1704,3.4,55.67,13.73,14.15
180815,CampColton,2,Exl,IC,2,9:39:00,1762.5,3.33,56.67,13.73,14.18
180815,CampColton,2,Exl,IC,3,9:39:59,1821,3.23,56.81,13.72,14.31
180815,CampColton,2,Exl,IC,4,9:41:01,1883,3.26,57.04,13.7,14.36
180815,CampColton,2,Exl,Can,1,9:43:05,2007.5,3.66,57.34,14.13,14.45
180815,CampColton,2,Exl,Can,2,9:44:13,2075.5,3.66,57.45,14.13,14.53
180815,CampColton,2,Exl,Can,3,9:45:19,2141.5,3.6,57.49,14.13,14.6
180815,CampColton,2,Exl,Can,4,9:46:26,2208.5,3.56,57.56,14.12,14.62
180815,CampColton,4,Add,IC,1,9:49:38,2400.5,2.45,54.76,13.24,14.93
180815,CampColton,4,Add,IC,2,9:51:11,2493,2.45,55.32,13.24,15.01
180815,CampColton,4,Add,IC,3,9:52:47,2589,2.48,54.84,13.27,15.22
180815,CampColton,4,Add,IC,4,9:54:23,2685.5,2.44,55,13.27,15.22
180815,CampColton,4,Add,Can,1,9:56:42,2824,4.52,53.36,13.29,15.48
180815,CampColton,4,Add,Can,2,9:57:42,2884,4.44,54.36,13.29,15.55
180815,CampColton,4,Add,Can,3,9:58:44,2946.5,4.46,54.6,13.29,15.63
180815,CampColton,4,Add,Can,4,9:59:49,3011,4.36,55.06,13.29,15.6
180815,CampColton,3,Ctrl,IC,1,10:02:19,3161,3.93,53.4,13.24,15.85
180815,CampColton,3,Ctrl,IC,2,10:03:23,3225.5,3.88,54.07,13.18,15.95
180815,CampColton,3,Ctrl,IC,3,10:04:34,3296,3.8,53.77,13.13,16.16
180815,CampColton,3,Ctrl,IC,4,10:05:41,3363.5,3.74,53.98,13.1,16.14
180815,CampColton,3,Ctrl,Can,1,10:07:31,3473.5,4.64,53.02,13.03,16.33
180815,CampColton,3,Ctrl,Can,2,10:08:27,3529.5,4.64,53.21,13.03,16.51
180815,CampColton,3,Ctrl,Can,3,10:09:25,3587.5,4.65,53.57,13,16.51
180815,CampColton,3,Ctrl,Can,4,10:10:26,3648,4.58,53.8,13.01,16.49
180815,CampColton,6,Add,IC,1,10:14:47,3910,5.04,51.27,13.17,16.78
180815,CampColton,6,Add,IC,2,10:15:38,3961,4.92,52.51,13.2,16.85
180815,CampColton,6,Add,IC,3,10:16:31,4014,5.09,52.76,13.23,16.95
180815,CampColton,6,Add,IC,4,10:17:22,4065,5.24,52.95,13.26,16.93
180815,CampColton,6,Add,Can,1,10:21:15,4297.5,3.52,53.95,13.31,17.27
180815,CampColton,6,Add,Can,2,10:22:30,4372.5,3.49,54.1,13.33,17.32
180815,CampColton,6,Add,Can,3,10:23:50,4452.5,3.37,54.05,13.34,17.35
180815,CampColton,6,Add,Can,4,10:25:13,4535.5,3.36,53.93,13.37,17.41
180815,CampColton,9,Add,Can,2,10:29:57,4820,3.71,53.7,13.71,17.8
180815,CampColton,9,Add,Can,3,10:31:14,4896,3.63,53.85,13.72,17.85
180815,CampColton,9,Add,Can,4,10:32:32,4974.5,3.69,53.94,13.69,17.88
180815,CampColton,9,Add,Can,1,10:34:01,5064,4.48,52.13,13.69,18.06
180815,CampColton,9,Add,Can,2,10:35:09,5132,4.52,52.62,13.68,18.08
180815,CampColton,9,Add,Can,3,10:36:16,5199,4.55,52.32,13.65,18.24
180815,CampColton,9,Add,Can,4,10:37:25,5267.5,4.44,52.38,13.63,18.25
180815,CampColton,5,Exl,IC,1,10:40:33,5456,2.94,52.35,14.17,18.41
180815,CampColton,5,Exl,IC,2,10:42:18,5561,2.88,52.95,14.17,18.49
180815,CampColton,5,Exl,IC,3,10:44:03,5665.5,2.8,53.15,14.18,18.48
180815,CampColton,5,Exl,IC,4,10:45:52,5775,2.78,52.87,14.21,18.59
180815,CampColton,5,Exl,Can,1,10:47:55,5897.5,5.5,52.46,14.23,18.51
