Site,Treatment,Plot,Microsite,Depth,initial.DOC,extractable.MBC,MBC
ANT,Add,1,Can,lower,76.04603487,25.61216297,56.91591771
ANT,Add,1,Can,lower,96.63643624,7.539717763,16.75492836
ANT,Add,1,Can,lower,74.9762679,41.56337174,92.36304831
ANT,Add,2,Can,upper,112.714767,47.69595869,105.9910193
ANT,Add,2,Can,upper,112.0877891,79.9133194,177.5851542
ANT,Add,2,Can,upper,106.2857183,65.1153485,144.7007744
ANT,Exl,12,Can,lower,-1.802044998,98.56091398,219.0242533
ANT,Exl,12,Can,lower,12.50790306,86.13442396,191.409831
ANT,Exl,4,Can,upper,75.2024402,135.4435779,300.9857286
ANT,Exl,4,Can,upper,71.10257801,118.7489947,263.8866549
ANT,Exl,4,Can,upper,76.53574076,132.0046964,293.3437698
ARB,Ctrl,11,Can,upper,17.48031062,334.7827208,743.9616017
ARB,Ctrl,11,Can,upper,9.743827727,354.0684768,786.8188374
ARB,Ctrl,11,Can,upper,17.5975857,346.2147189,769.3660419
ARB,Ctrl,2,Can,lower,6.168108776,260.1642816,578.142848
ARB,Ctrl,2,Can,lower,-4.478046972,281.2424612,624.9832471
ARB,Ctrl,2,Can,lower,3.814245087,233.8055398,519.5678662
ARB,Exl,10,IC,upper,-1.925547385,243.655968,541.4577066
ARB,Exl,10,IC,upper,15.57444167,214.030861,475.6241357
ARB,Exl,10,IC,upper,10.76349205,242.2173317,538.2607371
ARB,Exl,4,Can,upper,11.13385174,330.5408205,734.5351566
ARB,Exl,4,Can,upper,5.906894997,318.5882124,707.9738053
ARB,Exl,4,Can,upper,12.2233501,293.0022129,651.1160287
BC,Add,1,IC,lower,178.1301209,148.2432724,329.4294943
BC,Add,1,IC,lower,168.5267042,348.4243297,774.2762882
BC,Add,1,IC,lower,180.3164696,332.579441,739.0654244
BC,Add,6,IC,lower,154.8313066,306.3368393,680.7485318
BC,Add,6,IC,lower,141.0900643,295.9796571,657.7325714
BC,Add,6,IC,upper,760.6398364,0,0
BC,Add,6,IC,upper,901.2536911,0,0
BC,Add,6,IC,upper,829.6242566,0,0
BC,Ctrl,2,Can,lower,5002.978344,0,0
BC,Ctrl,2,Can,lower,4524.943846,0,0
BC,Ctrl,2,Can,lower,4810.818202,0,0
BC,Ctrl,5,IC,lower,187.9359164,246.2575782,547.2390627
BC,Ctrl,5,IC,lower,174.2578614,258.7314797,574.9588439
BC,Ctrl,5,IC,lower,179.3344727,263.9178453,586.4841006
BC,Ctrl,7,Can,lower,166.4257516,323.4397675,718.7550388
BC,Ctrl,7,Can,lower,166.0639327,351.3102371,780.6894158
BC,Ctrl,7,Can,lower,197.2925811,267.7041468,594.8981039
BC,Exl,12,IC,upper,194.9537037,264.0383433,586.751874
BC,Exl,12,IC,upper,122.3833436,342.848539,761.8856422
BC,Exl,12,IC,upper,165.3354198,274.8242968,610.7206595
BP,Ctrl,8,IC,lower,215.4947759,0,0
BP,Ctrl,8,IC,lower,210.1918741,31.96373961,71.03053247
BP,Ctrl,8,IC,lower,217.2164725,0,0
BP,Ctrl,8,IC,upper,222.1242085,34.45022958,76.55606574
BP,Ctrl,8,IC,upper,182.3305588,60.49256671,134.427926
BP,Ctrl,8,IC,upper,242.070728,1.430512294,3.178916209
BP,Exl,1,IC,upper,96.93916916,34.98730764,77.74957253
BP,Exl,1,IC,upper,81.3891675,42.85886798,95.24192884
BP,Exl,1,IC,upper,81.64050384,43.75986393,97.24414206
BP,Exl,2,Can,lower,127.0080221,0,0
BP,Exl,2,Can,lower,115.8691781,0,0
BP,Exl,4,Can,lower,130.0295561,0,0
BP,Exl,4,Can,lower,128.4519479,35.17900451,78.17556558
BP,Exl,4,Can,lower,114.4539615,73.91298263,164.2510725
CC,Add,9,IC,upper,87.23541952,364.5745548,810.1656773
CC,Add,9,IC,upper,108.2683119,347.4617746,772.1372768
CC,Add,9,IC,upper,77.36916908,401.3598709,891.9108242
CC,Ctrl,7,Can,upper,143.6313334,712.5803939,1583.511987
CC,Ctrl,7,Can,upper,149.2111568,755.2882982,1678.41844
CC,Ctrl,7,Can,upper,166.3713263,732.2252783,1627.167285
