Site,Trt,Canopy,Depth,mean N (%),SE,mean C (%),SE,C:N,ID,run_date,%N corrected,%C corrected,ID,run_date,%N corrected,%C corrected,ID,run_date,%N corrected,%C corrected,ID,run_date,%N corrected,%C corrected,ID,run_date,%N corrected,%C corrected
BlackPoint,Add,Can,0-5,0.026764596,0.005367774,0.543282797,0.118283595,20.29856135,BPaddP9CAN_05,190131,0.021865792,0.708275213,BPAddP10Can05,190422,0.022727321,0.748699901,BPAddP11Can05,190426,0.042755034,0.480290587,BPAddP12Can05,190820,0.019710238,0.235865485,,,,
BlackPoint,Add,Can,10-May,0.025319122,0.001908429,0.630127631,0.12742902,24.88742076,BPaddP9CAN_510,190131,0.024774975,0.744945273,BPaddP12CAN_510,190201,0.020603077,0.652278288,BPaddP11CAN_510,190201,0.029864056,0.854733878,BPAddp10Can510,190820,0.026034379,0.268553085,,,,
BlackPoint,Add,IC,0-5,0.025687296,0.002511487,0.416429287,0.143327346,16.21148779,BPaddP9IC_05,190201,0.024245035,0.83861768,BPAddP12IC05,190627,0.022103917,0.201195068,BPAddP11IC05,190627,0.033106315,0.329214343,BPAddP10IC05,190820,0.023293918,0.296690057,,,,
BlackPoint,Add,IC,10-May,0.027167774,0.002541997,0.386132104,0.099818147,14.21287214,BPAddP12IC510,190402,0.02028564,0.682008393,BPAddP9IC510,190627,0.030925659,0.303278993,BPAddP10IC510,190627,0.026366107,0.244498606,BPAddP11IC510,190820,0.031093691,0.314742425,,,,
BlackPoint,Exl,Can,0-5,0.02519529,0.001690538,0.692103912,0.12425815,27.46957531,BPExlP4Can05,190402,0.023859777,0.847646431,BPExlP2Can05,190402,0.026950922,0.85753604,BPExlP7Can05,190402,0.021155025,0.734357098,BPExlP1Can05,190426,0.028815436,0.32887608,,,,
BlackPoint,Exl,Can,10-May,0.028778801,0.002387537,0.729840933,0.101064218,25.36036627,BPexlP2CAN_510,190131,0.026651867,0.865374307,BPexlP7CAN_510,190201,0.021123357,0.729709048,BPexlP2CAN_510,190201,0.030592448,0.814863639,BPExlP4Can_510,190313,0.029949153,0.89746686,BPExlP1Can510,190426,0.035577181,0.34179081
BlackPoint,Exl,IC,0-5,0.021356281,0.001740411,0.346640984,0.134287771,16.23133665,BPexlP1IC_05,190131,0.022804238,0.743341055,BPExlP7IC05,190426,0.024342282,0.235277439,BPExlP4IC05,190627,0.016354916,0.14957965,BPExlP2IC05,190820,0.021923687,0.25836579,,,,
BlackPoint,Exl,IC,10-May,0.020632372,0.001963412,0.697133018,0.028802971,33.78831145,BPexlP1IC_510,190131,0.023742684,0.645491837,BPExlP7IC510,190422,0.021153134,0.745060728,BPExlP4IC510,190402,0.017001298,0.700846489,,,,,,,,
BlackPoint,Ctrl,Can,0-5,0.029286661,0.002325001,0.560797304,0.132020783,19.14855741,BPCtrlP6Can05,190422,0.020857974,0.74836677,BPCtrlP8Can_05,190313,0.034307079,0.990866889,BPCtrlP12Can05,190426,0.028503356,0.339015288,BPCtrlP3Can05,190426,0.030271812,0.384187018,BPCtrlP5Can05,190625,0.032493083,0.341550557
BlackPoint,Ctrl,Can,10-May,0.028798635,0.0028669,0.589573549,0.170551539,20.47227437,BPctrlP5CAN_510,190131,0.023742684,0.800364458,BPCtrlP8Can510,190422,0.036993388,0.958654737,BPCtrlP6Can510,190426,0.026526846,0.287924821,BPCtrlP3CAN510,190820,0.027931621,0.311350182,,,,
