Site,Treatment,Plot,Microsite,Depth,Root_mass
BP,Add,9,Can,upper,0.6831
BP,Add,9,Can,lower,0.5503
BP,Add,9,IC,upper,0.1717
BP,Add,9,IC,lower,0.6229
BP,Add,10,Can,upper,0.7224
BP,Add,10,Can,lower,0.3079
BP,Add,10,IC,upper,0.092
BP,Add,10,IC,lower,0.1559
BP,Add,11,Can,upper,0.3854
BP,Add,11,Can,lower,2.6527
BP,Add,11,IC,upper,0.1669
BP,Add,11,IC,lower,0.2059
BP,Add,12,Can,upper,0.2298
BP,Add,12,Can,lower,0.5051
BP,Add,12,IC,upper,0.0249
BP,Add,12,IC,lower,0.0816
BP,Exl,1,Can,upper,0.1932
BP,Exl,1,Can,lower,0.607
BP,Exl,1,IC,upper,0.0308
BP,Exl,1,IC,lower,0.2186
BP,Exl,2,Can,upper,0.2712
BP,Exl,2,Can,lower,0.5923
BP,Exl,2,IC,upper,0.0489
BP,Exl,2,IC,lower,0.0721
BP,Exl,4,Can,upper,0.5133
BP,Exl,4,Can,lower,2.015
BP,Exl,4,IC,upper,0.0123
BP,Exl,4,IC,lower,0.1325
BP,Exl,7,Can,upper,0.4001
BP,Exl,7,Can,lower,0.6857
BP,Exl,7,IC,upper,0.0374
BP,Exl,7,IC,lower,0.1519
BP,Ctrl,3,Can,upper,0.9804
BP,Ctrl,3,Can,lower,3.5285
BP,Ctrl,3,IC,upper,0.1351
BP,Ctrl,3,IC,lower,0.3253
BP,Ctrl,5,Can,upper,0.6892
BP,Ctrl,5,Can,lower,0.9319
BP,Ctrl,5,IC,upper,0.0689
BP,Ctrl,5,IC,lower,0.3567
BP,Ctrl,6,Can,upper,1.1515
BP,Ctrl,6,Can,lower,0.3593
BP,Ctrl,6,IC,lower,0.3867
BP,Ctrl,6,IC,upper,0.3774
BP,Ctrl,8,Can,upper,1.0216
BP,Ctrl,8,Can,lower,0.7551
BP,Ctrl,8,IC,upper,0.8084
BP,Ctrl,8,IC,lower,0.6142
ANT,Add,1,Can,upper,0.3161
ANT,Add,1,Can,lower,3.1295
ANT,Add,1,IC,upper,NA
ANT,Add,1,IC,lower,0.0445
ANT,Add,2,Can,upper,1.3275
ANT,Add,2,Can,lower,0.2782
ANT,Add,2,IC,upper,0.1085
ANT,Add,2,IC,lower,0.0977
ANT,Add,5,Can,upper,0.23
ANT,Add,5,Can,lower,0.0873
ANT,Add,5,IC,upper,0.2832
ANT,Add,5,IC,lower,0.0756
ANT,Add,11,Can,upper,0.7162
ANT,Add,11,Can,lower,0.4079
ANT,Add,11,IC,upper,0.4121
ANT,Add,11,IC,lower,0.1389
ANT,Exl,4,Can,upper,2.6564
ANT,Exl,4,Can,lower,0.326
ANT,Exl,4,IC,upper,0.066
ANT,Exl,4,IC,lower,0.152
ANT,Exl,6,Can,upper,0.4375
ANT,Exl,6,Can,lower,0.2516
ANT,Exl,6,IC,upper,0.2968
ANT,Exl,6,IC,lower,0.0836
ANT,Exl,9,Can,upper,0.2001
ANT,Exl,9,Can,lower,0.8554
ANT,Exl,9,IC,upper,0.0853
ANT,Exl,9,IC,lower,0.3524
ANT,Exl,12,Can,upper,0.564
ANT,Exl,12,Can,lower,0.568
ANT,Exl,12,IC,upper,0.1103
ANT,Exl,12,IC,lower,0.0766
ANT,Ctrl,3,Can,upper,0.6942
ANT,Ctrl,3,Can,lower,0.5855
ANT,Ctrl,3,IC,upper,0.3581
ANT,Ctrl,3,IC,lower,0.1257
ANT,Ctrl,7,Can,upper,0.2442
ANT,Ctrl,7,Can,lower,0.1427
ANT,Ctrl,7,IC,upper,0.5726
ANT,Ctrl,7,IC,lower,0.2992
ANT,Ctrl,8,Can,upper,0.341
ANT,Ctrl,8,Can,lower,0.2598
ANT,Ctrl,8,IC,upper,0.3059
ANT,Ctrl,8,IC,lower,0.1021
ANT,Ctrl,10,Can,upper,0.0881
ANT,Ctrl,10,Can,lower,NA
ANT,Ctrl,10,IC,upper,0.1105
ANT,Ctrl,10,IC,lower,0.2136
BC,Add,1,Can,upper,0.9277
BC,Add,1,Can,lower,1.1402
BC,Add,1,IC,upper,0.5628
BC,Add,1,IC,lower,0.3387
BC,Add,6,Can,upper,NA
BC,Add,6,Can,lower,0.2036
BC,Add,6,IC,upper,0.4234
BC,Add,6,IC,lower,0.3544
BC,Add,9,Can,upper,0.9453
BC,Add,9,Can,lower,0.794
BC,Add,9,IC,upper,0.5905
BC,Add,9,IC,lower,0.3864
BC,Add,11,Can,upper,0.7507
BC,Add,11,Can,lower,0.3216
BC,Add,11,IC,upper,NA
BC,Add,11,IC,lower,0.3031
BC,Exl,4,Can,upper,0.3514
BC,Exl,4,Can,lower,0.5079
BC,Exl,4,IC,upper,0.2786
BC,Exl,4,IC,lower,0.4316
BC,Exl,8,Can,upper,0.4779
BC,Exl,8,Can,lower,0.3206
BC,Exl,8,IC,upper,0.3265
BC,Exl,8,IC,lower,0.3678
BC,Exl,10,Can,upper,0.7
BC,Exl,10,Can,lower,0.3369
BC,Exl,10,IC,upper,0.4445
BC,Exl,10,IC,lower,0.1604
BC,Exl,12,Can,upper,0.3904
BC,Exl,12,Can,lower,0.3576
BC,Exl,12,IC,upper,0.6467
BC,Exl,12,IC,lower,0.4679
BC,Ctrl,2,Can,upper,0.5795
BC,Ctrl,2,Can,lower,1.8224
BC,Ctrl,2,IC,upper,0.2412
BC,Ctrl,2,IC,lower,0.3587
BC,Ctrl,3,Can,upper,0.8231
