Site,Treatment,Plot,Microsite,Depth,Initial mass (g),mass after sieving (g) ,mass of roots (g),mass of dry roots (g)
BP,Add,9,Can,upper,374.5,345.6,0.9,0.6831
BP,Add,9,Can,lower,413,392.1,0.6,0.5503
BP,Add,9,IC,upper,322.2,302.9,0.1,0.1717
BP,Add,9,IC,lower,384.5,368.6,0.6,0.6229
BP,Add,10,Can,upper,331.6,321.4,0.3,0.7224
BP,Add,10,Can,lower,383.5,369.5,0.7,0.3079
BP,Add,10,IC,upper,452.6,433.3,0.1,0.092
BP,Add,10,IC,lower,398.9,381.3,0.1,0.1559
BP,Add,11,Can,upper,332.9,316.8,0.5,0.3854
BP,Add,11,Can,lower,420.1,406.8,2.7,2.6527
BP,Add,11,IC,upper,343.3,330.6,0,0.1669
BP,Add,11,IC,lower,409.5,401.1,0.2,0.2059
BP,Add,12,Can,upper,350.5,320.7,0.4,0.2298
BP,Add,12,Can,lower,328.3,308.7,0.5,0.5051
BP,Add,12,IC,upper,348.5,326.4,0,0.0249
BP,Add,12,IC,lower,385,367.6,0.1,0.0816
BP,Exl,1,Can,upper,329.8,317.2,0.2,0.1932
BP,Exl,1,Can,lower,407.4,394.1,0.6,0.607
BP,Exl,1,IC,upper,379.6,367.3,0,0.0308
BP,Exl,1,IC,lower,405.2,390.7,0.3,0.2186
BP,Exl,2,Can,upper,394.8,378.7,0.6,0.2712
BP,Exl,2,Can,lower,486.6,465.1,0.1,0.5923
BP,Exl,2,IC,upper,352.2,339.4,0.1,0.0489
BP,Exl,2,IC,lower,400.3,381.6,0.2,0.0721
BP,Exl,4,Can,upper,401.5,384.3,0.5,0.5133
BP,Exl,4,Can,lower,426.6,411.7,2.1,2.015
BP,Exl,4,IC,upper,319.2,295.3,0,0.0123
BP,Exl,4,IC,lower,302.6,283.8,0.2,0.1325
BP,Exl,7,Can,upper,398.4,391,0.5,0.4001
BP,Exl,7,Can,lower,435,422,0.7,0.6857
BP,Exl,7,IC,upper,355.7,343.8,0,0.0374
BP,Exl,7,IC,lower,348.4,336.6,0.1,0.1519
BP,Ctrl,3,Can,upper,271.1,257.6,1,0.9804
BP,Ctrl,3,Can,lower,432.4,408.3,3.5,3.5285
BP,Ctrl,3,IC,upper,345.3,328.3,0.1,0.1351
BP,Ctrl,3,IC,lower,453.1,429.1,0.3,0.3253
BP,Ctrl,5,Can,upper,347.9,332.9,0.8,0.6892
BP,Ctrl,5,Can,lower,423.7,390.9,1,0.9319
BP,Ctrl,5,IC,upper,380.3,361.7,0.1,0.0689
BP,Ctrl,5,IC,lower,478.6,459.6,0.3,0.3567
BP,Ctrl,6,Can,upper,426.7,397.7,1.3,1.1515
BP,Ctrl,6,Can,lower,427.9,414,0.4,0.3593
BP,Ctrl,6,IC,lower,315,295.2,0.4,0.3867
BP,Ctrl,6,IC,upper,360.3,329.8,0.4,0.3774
BP,Ctrl,8,Can,upper,413.5,400.1,1.3,1.0216
BP,Ctrl,8,Can,lower,436.9,426.6,0.7,0.7551
BP,Ctrl,8,IC,upper,321.4,309.5,0.8,0.8084
BP,Ctrl,8,IC,lower,366.6,352,0.7,0.6142
ANT,Add,1,Can,upper,226.1,164.2,0.4,0.3161
ANT,Add,1,Can,lower,415.2,305.5,3.4,3.1295
ANT,Add,1,IC,upper,,,,
ANT,Add,1,IC,lower,326.6,255.5,0,0.0445
ANT,Add,2,Can,upper,193.9,135.8,1.8,1.3275
