"","Site","Treatment","Plot","plot_mean_Cover","plot_mean_ANPP","n_quadrats","Root_mass_upper_Can","Root_mass_upper_IC","Root_mass_lower_Can","Root_mass_lower_IC","Root_mass_Can","Root_mass_IC","Root_mass_Can_gm2","Root_mass_IC_gm2","Root_mass_Can_gm2_weighted","Root_mass_IC_gm2_weighted","Root_mass_total_gm2","root_to_ANPP","SiteOrder","TreatmentOrder"
"1","ANT","Ctrl",3,19.925,59.878395,2,0.6942,0.3581,0.5855,0.1257,1.2797,0.4838,332.523677890651,125.713022867467,66.2553428197122,100.664703061124,166.920045880836,2.78765063560632,"Desert Grassland","Ambient"
"2","ANT","Ctrl",7,15.1,50.76678,1,0.2442,0.5726,0.1427,0.2992,0.3869,0.8718,100.534039990539,226.532892384988,15.1806400385714,192.326425634855,207.507065673426,4.08745769720724,"Desert Grassland","Ambient"
"3","ANT","Ctrl",8,20.975,65.7786525,2,0.341,0.3059,0.2598,0.1021,0.6008,0.408,156.114890737441,106.016770008116,32.7450983321782,83.7797524989134,116.524850831092,1.77146910741432,"Desert Grassland","Ambient"
"4","ANT","Ctrl",10,24.67,69.21296,2,0.0881,0.1105,NA,0.2136,NA,0.3241,NA,84.2157724500742,NA,63.4397413866409,NA,NA,"Desert Grassland","Ambient"
"5","ANT","Exl",4,10.705,32.20064,2,2.6564,0.066,0.326,0.152,2.9824,0.218,774.961801157363,56.6462153474735,82.9596608138957,50.5822379945265,133.541898808422,4.14718150969739,"Desert Grassland","Exclusion"
"6","ANT","Exl",6,4.125,11.3945975,2,0.4375,0.2968,0.2516,0.0836,0.6891,0.3804,179.059206403413,98.845047331096,7.38619226414078,94.7676891286883,102.153881392829,8.96511538848381,"Desert Grassland","Exclusion"
"7","ANT","Exl",9,6.005,16.132315,2,0.2001,0.0853,0.8554,0.3524,1.0555,0.4377,274.266423391093,113.734167236648,16.4696987246352,106.904430494087,123.374129218722,7.64763948749587,"Desert Grassland","Exclusion"
"8","ANT","Exl",12,6.65,18.9607525,2,0.564,0.1103,0.568,0.0766,1.132,0.1869,294.144567767615,48.5650350846,19.5606137565464,45.3354602514741,64.8960740080205,3.42265287245432,"Desert Grassland","Exclusion"
"9","ANT","Add",1,20.305,60.238155,2,0.3161,NA,3.1295,0.0445,3.4456,NA,895.322016519518,NA,181.795135454288,NA,NA,NA,"Desert Grassland","Addition"
"10","ANT","Add",2,51.1,107.404995,2,1.3275,0.1085,0.2782,0.0977,1.6057,0.2062,417.233155887331,53.5800440580231,213.206142658426,26.2006415443733,239.4067842028,2.22900977931985,"Desert Grassland","Addition"
"11","ANT","Add",5,23.05,72.5806,2,0.23,0.2832,0.0873,0.0756,0.3173,0.3588,82.4488262832723,93.2323948012546,19.0044544582943,71.7423277995654,90.7467822578597,1.25028977795526,"Desert Grassland","Addition"
"12","ANT","Add",11,24.25,73.31556,2,0.7162,0.4121,0.4079,0.1389,1.1241,0.551,292.09179207383,143.174608515862,70.8322595779038,108.454765950766,179.287025528669,2.44541575524581,"Desert Grassland","Addition"
"13","ARB","Ctrl",2,50.595,120.4940665,2,0.382,0.3696,1.5113,0.6432,1.8933,1.0128,491.964584942072,263.171040843675,248.909481751441,130.019652728818,378.929134480259,3.14479497196037,"Ponderosa Pine Meadow","Ambient"
"14","ARB","Ctrl",5,43.425,95.0892995,2,0.2032,0.1098,1.4923,0.216,1.6955,0.3258,440.567239090098,84.6575089917747,191.316323574875,47.8949857120965,239.211309286972,2.51564908506842,"Ponderosa Pine Meadow","Ambient"
"15","ARB","Ctrl",6,35.7,80.3174975,2,0.4551,0.4506,2.3868,0.6279,2.8419,1.0785,738.453575210941,280.242858955276,263.627926350306,180.196158308243,443.824084658548,5.52587043263578,"Ponderosa Pine Meadow","Ambient"
"16","ARB","Ctrl",11,39.725,114.19751,2,0.8576,0.6312,0.5055,0.5141,1.3631,1.1453,354.194752936427,297.60050659386,140.703865603996,179.378705349449,320.082570953445,2.80288572801145,"Ponderosa Pine Meadow","Ambient"
"17","ARB","Exl",1,25.65,51.3385025,2,0.2748,0.4927,0.6552,0.2285,0.93,0.7212,241.655872812616,187.400231690816,61.9847313764361,139.332072262122,201.316803638558,3.92136104161897,"Ponderosa Pine Meadow","Exclusion"
"18","ARB","Exl",4,20.275,44.44776,2,0.1174,0.251,0.6005,0.3843,0.7179,0.6353,186.542743109868,165.079544083715,37.8215411655258,131.609666520742,169.431207686268,3.81191780387286,"Ponderosa Pine Meadow","Exclusion"
"19","ARB","Exl",7,18.975,49.7884525,2,1.1555,0.184,0.8299,0.2269,1.9854,0.4109,515.896311701257,106.770320579252,97.8913251453135,86.5106522493387,184.401977394652,3.7037097586966,"Ponderosa Pine Meadow","Exclusion"
"20","ARB","Exl",10,22.825,52.8228075,2,0.4395,0.4729,0.3617,0.1132,0.8012,0.5861,208.187833653192,152.295168876854,47.518873031341,117.533796580712,165.052669612053,3.12464780695447,"Ponderosa Pine Meadow","Exclusion"
"21","ARB","Add",3,43.515,99.4170115,2,0.2297,0.4177,0.5996,0.1104,0.8293,0.5281,215.489478842476,137.224157454132,93.7702467183035,77.5110653379665,171.28131205627,1.72285717979231,"Ponderosa Pine Meadow","Addition"
"22","ARB","Add",8,40.36,104.348711,2,0.5136,0.3226,0.4341,0.4756,0.9477,0.7982,246.255129746792,207.408298579603,99.3885703658053,123.698309272875,223.08687963868,2.13789779960655,"Ponderosa Pine Meadow","Addition"
