"Site","Treatment","Microsite","Depth","Plot","N","mean_C","mean_N"
"Desert Scrub","Exclusion","CAN","0.5","P1",1,0.32887608,0.028815436
"Desert Scrub","Exclusion","CAN","0.5","P2",1,0.85753604,0.026950922
"Desert Scrub","Exclusion","CAN","0.5","P4",1,0.847646431,0.023859777
"Desert Scrub","Exclusion","CAN","0.5","P7",1,0.734357098,0.021155025
"Desert Scrub","Exclusion","CAN","5.10","P1",1,0.34179081,0.035577181
"Desert Scrub","Exclusion","CAN","5.10","P2",2,0.840118973,0.0286221575
"Desert Scrub","Exclusion","CAN","5.10","P4",1,0.89746686,0.029949153
"Desert Scrub","Exclusion","CAN","5.10","P7",1,0.729709048,0.021123357
"Desert Scrub","Exclusion","IC","0.5","P1",1,0.743341055,0.022804238
"Desert Scrub","Exclusion","IC","0.5","P2",1,0.25836579,0.021923687
"Desert Scrub","Exclusion","IC","0.5","P4",1,0.14957965,0.016354916
"Desert Scrub","Exclusion","IC","0.5","P7",1,0.235277439,0.024342282
"Desert Scrub","Exclusion","IC","5.10","P1",1,0.645491837,0.023742684
"Desert Scrub","Exclusion","IC","5.10","P4",1,0.700846489,0.017001298
"Desert Scrub","Exclusion","IC","5.10","P7",1,0.745060728,0.021153134
"Desert Scrub","Ambient","CAN","0.5","P12",1,0.339015288,0.028503356
"Desert Scrub","Ambient","CAN","0.5","P3",1,0.384187018,0.030271812
"Desert Scrub","Ambient","CAN","0.5","P5",1,0.341550557,0.032493083
"Desert Scrub","Ambient","CAN","0.5","P6",1,0.74836677,0.020857974
"Desert Scrub","Ambient","CAN","0.5","P8",1,0.990866889,0.034307079
"Desert Scrub","Ambient","CAN","5.10","P3",1,0.311350182,0.027931621
"Desert Scrub","Ambient","CAN","5.10","P5",1,0.800364458,0.023742684
"Desert Scrub","Ambient","CAN","5.10","P6",1,0.287924821,0.026526846
"Desert Scrub","Ambient","CAN","5.10","P8",1,0.958654737,0.036993388
"Desert Scrub","Ambient","IC","0.5","P3",1,0.70714144,0.018393542
"Desert Scrub","Ambient","IC","0.5","P5",1,0.751109014,0.019331988
"Desert Scrub","Ambient","IC","0.5","P6",1,0.785467732,0.025994955
"Desert Scrub","Ambient","IC","0.5","P8",1,0.877773837,0.038396643
"Desert Scrub","Ambient","IC","5.10","P3",1,0.236673898,0.026838926
"Desert Scrub","Ambient","IC","5.10","P5",1,0.81773573,0.023317641
"Desert Scrub","Ambient","IC","5.10","P6",1,0.722552973,0.019238143
"Desert Scrub","Ambient","IC","5.10","P8",1,0.858093886,0.031945175
"Desert Scrub","Addition","CAN","0.5","P10",1,0.748699901,0.022727321
"Desert Scrub","Addition","CAN","0.5","P11",1,0.480290587,0.042755034
"Desert Scrub","Addition","CAN","0.5","P12",1,0.235865485,0.019710238
"Desert Scrub","Addition","CAN","0.5","P9",1,0.708275213,0.021865792
"Desert Scrub","Addition","CAN","5.10","P10",1,0.268553085,0.026034379
"Desert Scrub","Addition","CAN","5.10","P11",1,0.854733878,0.029864056
"Desert Scrub","Addition","CAN","5.10","P12",1,0.652278288,0.020603077
"Desert Scrub","Addition","CAN","5.10","P9",1,0.744945273,0.024774975
"Desert Scrub","Addition","IC","0.5","P10",1,0.296690057,0.023293918
"Desert Scrub","Addition","IC","0.5","P11",1,0.329214343,0.033106315
"Desert Scrub","Addition","IC","0.5","P12",1,0.201195068,0.022103917
"Desert Scrub","Addition","IC","0.5","P9",1,0.83861768,0.024245035
"Desert Scrub","Addition","IC","5.10","P10",1,0.244498606,0.026366107
"Desert Scrub","Addition","IC","5.10","P11",1,0.314742425,0.031093691
"Desert Scrub","Addition","IC","5.10","P12",1,0.682008393,0.02028564
"Desert Scrub","Addition","IC","5.10","P9",1,0.303278993,0.030925659
"Desert Grassland","Exclusion","CAN","0.5","P12",1,0.996569811,0.08167546
"Desert Grassland","Exclusion","CAN","0.5","P4",1,0.981022986,0.076671039
"Desert Grassland","Exclusion","CAN","0.5","P9",1,1.068618982,0.091855705
"Desert Grassland","Exclusion","CAN","5.10","P12",1,0.728714967,0.06953885
"Desert Grassland","Exclusion","CAN","5.10","P4",1,0.751748399,0.069362602
"Desert Grassland","Exclusion","CAN","5.10","P6",1,0.820421123,0.068946618
"Desert Grassland","Exclusion","CAN","5.10","P9",1,0.892915177,0.082765787
"Desert Grassland","Exclusion","IC","0.5","P12",1,1.043304807,0.087590604
"Desert Grassland","Exclusion","IC","0.5","P4",1,0.67991975,0.066681208
"Desert Grassland","Exclusion","IC","0.5","P6",1,1.216987751,0.08510309
"Desert Grassland","Exclusion","IC","0.5","P9",1,0.662996448,0.068033557
"Desert Grassland","Exclusion","IC","5.10","P12",1,0.816794912,0.075926459
"Desert Grassland","Exclusion","IC","5.10","P4",1,0.629072642,0.070619569
"Desert Grassland","Exclusion","IC","5.10","P6",1,1.242631085,0.088645265
"Desert Grassland","Exclusion","IC","5.10","P9",1,0.664438322,0.071798601
"Desert Grassland","Ambient","CAN","0.5","P10",1,1.160754753,0.084805759
"Desert Grassland","Ambient","CAN","0.5","P3",1,1.543886943,0.101041807
"Desert Grassland","Ambient","CAN","0.5","P7",1,1.031900995,0.075382851
"Desert Grassland","Ambient","CAN","0.5","P8",1,1.043835458,0.083171486
"Desert Grassland","Ambient","CAN","5.10","P10",1,0.706816704,0.069301259
"Desert Grassland","Ambient","CAN","5.10","P3",1,0.858459519,0.083660979
"Desert Grassland","Ambient","CAN","5.10","P7",1,0.712964778,0.069177852
"Desert Grassland","Ambient","CAN","5.10","P8",1,0.853759769,0.086654362
"Desert Grassland","Ambient","IC","0.5","P10",1,0.909626717,0.079395683
