"Site","Treatment","Microsite","Depth","Plot","N","extractable.MBC","MBC"
"Desert Scrub","Exclusion","Intercanopy","lower","1",1,7.867562912,17.48347314
"Desert Scrub","Exclusion","Intercanopy","lower","2",1,18.36993258,40.82207239
"Desert Scrub","Exclusion","Intercanopy","lower","4",1,8.781904892,19.5153442
"Desert Scrub","Exclusion","Intercanopy","lower","7",1,27.87894315,61.953207
"Desert Scrub","Exclusion","Intercanopy","upper","1",3,40.5353465166667,90.07854781
"Desert Scrub","Exclusion","Intercanopy","upper","2",1,3.641249289,8.091665088
"Desert Scrub","Exclusion","Intercanopy","upper","4",1,19.21888072,42.70862382
"Desert Scrub","Exclusion","Intercanopy","upper","7",1,21.14798307,46.99551792
"Desert Scrub","Exclusion","Canopy","lower","1",1,44.97297521,99.93994491
"Desert Scrub","Exclusion","Canopy","lower","2",3,21.2413181666667,47.20292926
"Desert Scrub","Exclusion","Canopy","lower","4",2,54.54599357,121.21331904
"Desert Scrub","Exclusion","Canopy","lower","7",1,19.21751916,42.70559812
"Desert Scrub","Exclusion","Canopy","upper","1",1,33.17059744,73.71243875
"Desert Scrub","Exclusion","Canopy","upper","2",1,53.85626487,119.6805886
"Desert Scrub","Exclusion","Canopy","upper","4",1,42.09590735,93.54646078
"Desert Scrub","Exclusion","Canopy","upper","7",1,24.04395572,53.43101272
"Desert Scrub","Ambient","Intercanopy","lower","9",1,10.25368106,22.7859579
"Desert Scrub","Ambient","Intercanopy","lower","10",1,18.79960263,41.77689474
"Desert Scrub","Ambient","Intercanopy","lower","11",1,13.8865542,30.85900934
"Desert Scrub","Ambient","Intercanopy","lower","12",1,16.61847287,36.92993971
"Desert Scrub","Ambient","Intercanopy","upper","9",3,35.5307565733333,78.9572368333333
"Desert Scrub","Ambient","Intercanopy","upper","10",1,15.82475519,35.16612264
"Desert Scrub","Ambient","Intercanopy","upper","11",1,36.75948516,81.68774479
"Desert Scrub","Ambient","Intercanopy","upper","12",1,18.63613331,41.41362958
"Desert Scrub","Ambient","Canopy","lower","9",3,21.64285805,48.0952401133333
"Desert Scrub","Ambient","Canopy","lower","10",1,30.77381355,68.38625234
