Plot,Treatment,N,mean_SWP,sd_SWP,se_SWP,mean_VWC,sd_VWC,se_VWC,SampleDate,Site
1,Addition,23,-88.71427628270587,61.13379214520955,12.74727684824537,0.04391304347826087,0.0075553295065515945,0.0015753951050667336,2018-06-05,Desert Grassland
3,Ambient,23,-133667631205724,230051502338529.84,47969054213068.32,0.0092,0.009333079000863737,0.0019460814992134912,2018-06-05,Desert Grassland
4,Exclusion,23,-22591395.335829765,64191437.07396256,13384839.88895889,0.012695652173913044,0.008525015503098117,0.0017775886124559825,2018-06-05,Desert Grassland
5,Addition,23,-3898.9322563867763,4875.86162260273,1016.6874292603861,0.024956521739130436,0.009037690075303159,0.0018844886504812781,2018-06-05,Desert Grassland
7,Ambient,23,-178223300873550.8,249525844988235.94,52029735359818.484,0.0086,0.009472448085224471,0.0019751419621766406,2018-06-05,Desert Grassland
9,Exclusion,23,-267334093322458.7,261705356663116.78,54569339100207.57,0.0064869565217391305,0.008147130244773091,0.0016987940892355335,2018-06-05,Desert Grassland
10,Ambient,23,-19304.41578446734,26379.353541938275,5500.47544700168,0.018260869565217393,0.006390457312589735,0.0013325024620913974,2018-06-05,Desert Grassland
11,Addition,23,-589011800.905017,1908357184.5495827,397919980.1479652,0.013347826086956522,0.010434247351225735,0.0021756909725674186,2018-06-05,Desert Grassland
12,Exclusion,23,-3282672.0362879806,8859660.098724714,1847366.834230429,0.014,0.008764598212022147,0.0018275450606254832,2018-06-05,Desert Grassland
1,Addition,24,-117.63242268331969,73.01410979304583,14.903942751375881,0.040625,0.005829553640903728,0.0011899526540331679,2018-06-06,Desert Grassland
3,Ambient,24,-170797614768510.53,246737580223402.47,50365097659697.164,0.0058249999999999994,0.006429365375403297,0.0013123887116379745,2018-06-06,Desert Grassland
4,Exclusion,24,-573794064.4706048,1867900184.3194218,381283528.5027693,0.00925,0.006319397329547783,0.001289941578274892,2018-06-06,Desert Grassland
5,Addition,24,-5426.273527373065,5972.107975312227,1219.0514356934095,0.021916666666666668,0.0069652345799422425,0.001421772554970602,2018-06-06,Desert Grassland
7,Ambient,24,-213496248690718.94,258044730891834.12,52673160124899.44,0.005583333333333333,0.006430002141230739,0.001312518690918214,2018-06-06,Desert Grassland
9,Exclusion,24,-298894636438339.5,258044634512308.47,52673140451511.14,0.003266666666666667,0.004859027158551003,9.918447653979646e-4,2018-06-06,Desert Grassland
10,Ambient,24,-27310.058898505198,31699.36852004057,6470.606503545279,0.015916666666666666,0.004898239849495776,9.998490224193103e-4,2018-06-06,Desert Grassland
11,Addition,24,-42700033450220.77,144662826179051.8,29529175740634.438,0.009841666666666667,0.007899967895733703,0.001612574194076343,2018-06-06,Desert Grassland
12,Exclusion,24,-12807030.51257425,45838229.16597849,9356689.347450754,0.010833333333333334,0.0067028006259983635,0.0013682034484419714,2018-06-06,Desert Grassland
1,Addition,24,-137.6659907378565,107.26271921398092,21.894910874806534,0.04095833333333333,0.007948087911521573,0.001622396651167589,2018-06-07,Desert Grassland
3,Ambient,24,-213496255405308.12,258044725094907.38,52673158941606.72,0.008,0.009062824207094367,0.0018499412446603952,2018-06-07,Desert Grassland
4,Exclusion,24,-85398684434085.125,195063528159911.03,39817175951566.64,0.010641666666666667,0.009167898467960942,0.0018713894383456618,2018-06-07,Desert Grassland
5,Addition,24,-12755.497636132188,18351.94369354784,3746.0748197899893,0.021916666666666668,0.009193176423501466,0.001876549279413582,2018-06-07,Desert Grassland
7,Ambient,24,-277544770983394.28,260795072993835.66,53234571355565.89,0.0055541666666666665,0.007282377727248076,0.0014865091288305697,2018-06-07,Desert Grassland
9,Exclusion,24,-277545037199531.97,260794777365185.2,53234511010620.31,0.0051375,0.006720106915557351,0.0013717360800053363,2018-06-07,Desert Grassland
10,Ambient,24,-66145.50356395137,117090.07291335237,23900.91104858259,0.016125,0.006509608283145768,0.0013287682265918312,2018-06-07,Desert Grassland
11,Addition,24,-85398951820033.03,195063406013564.3,39817151018548.02,0.011183333333333333,0.01012623225637971,0.0020670085037535215,2018-06-07,Desert Grassland
12,Exclusion,24,-850223912.2933547,2234365835.3401217,456088016.27423304,0.011833333333333333,0.009416297927883689,0.001922093765778466,2018-06-07,Desert Grassland
1,Addition,24,-155.90931265549162,132.9958292738949,27.147659969945696,0.040916666666666664,0.009021311322142391,0.0018414674625034618,2018-06-08,Desert Grassland
3,Ambient,24,-192146926800536.2,253394693572211.28,51723975231734.84,0.0086625,0.009650763092153365,0.001969953767021678,2018-06-08,Desert Grassland
4,Exclusion,24,-85398684606713.67,195063528081048.44,39817175935468.88,0.011016666666666666,0.009507967673239236,0.001940805774192796,2018-06-08,Desert Grassland
5,Addition,24,-12755.36721305222,18423.204253943266,3760.620820769454,0.022958333333333334,0.01044854542265455,0.002132800403316371,2018-06-08,Desert Grassland
7,Ambient,24,-298894359853393.8,258044968807347.62,52673208689200.266,0.00535,0.007627752532407706,0.001557008465718424,2018-06-08,Desert Grassland
9,Exclusion,24,-277544769801229.88,260795074306624.66,53234571623537.83,0.0061375,0.008129592347659902,0.001659446089050129,2018-06-08,Desert Grassland
10,Ambient,24,-83715.08841827231,145622.82232452303,29725.1341332547,0.016291666666666666,0.0070924280914143965,0.0014477358217789033,2018-06-08,Desert Grassland
11,Addition,24,-85398685678081.27,195063527591611.28,39817175835562.945,0.011183333333333333,0.010190433137812734,0.002080113453799174,2018-06-08,Desert Grassland
12,Exclusion,24,-21350446966024.477,104591056436299.48,21349559993964.344,0.0123375,0.010221197602765667,0.002086393223911209,2018-06-08,Desert Grassland
1,Addition,24,-143.65024539149366,117.47250342114528,23.978974349096433,0.040791666666666664,0.008021596754559133,0.001637401580919619,2018-06-09,Desert Grassland
3,Ambient,24,-192146659740609.12,253394904882100.38,51724018365185.33,0.008370833333333333,0.009255761034017708,0.0018893243095398835,2018-06-09,Desert Grassland
4,Exclusion,24,-64049079625590.33,173101718068340.72,35334240238878.84,0.011429166666666667,0.00925251924174387,0.0018886625814629667,2018-06-09,Desert Grassland
5,Addition,24,-10299.463895512441,14454.855431058792,2950.585009316019,0.02225,0.008960056288643067,0.0018289638311492589,2018-06-09,Desert Grassland
7,Ambient,24,-298894366957355.94,258044960221045.34,52673206936528.66,0.004933333333333333,0.006975214920588884,0.001423809783474221,2018-06-09,Desert Grassland
9,Exclusion,24,-277545036992542.34,260794777595046.84,53234511057540.625,0.005220833333333333,0.006858696743149733,0.0014000256101004717,2018-06-09,Desert Grassland
10,Ambient,24,-56328.82635073199,85554.81014115736,17463.802490543934,0.01620833333333333,0.006514059488099012,0.0013296768249981643,2018-06-09,Desert Grassland
11,Addition,24,-106748281343374.48,212565543951060.2,43389759964770.734,0.010770833333333334,0.010099052007454727,0.0020614603586745182,2018-06-09,Desert Grassland
12,Exclusion,24,-582793947.9350853,1865575236.530281,380808950.5226021,0.011958333333333333,0.00913892376246962,0.0018654750013538989,2018-06-09,Desert Grassland
1,Addition,24,-145.65052449631636,106.421276132638,21.72315202506609,0.04008333333333333,0.007406910208756395,0.0015119292151720665,2018-06-10,Desert Grassland
3,Ambient,24,-192146659731500.06,253394904889308,51724018366656.586,0.008120833333333332,0.008864535063050853,0.0018094656426237414,2018-06-10,Desert Grassland
4,Exclusion,24,-306626537.28466517,1350031995.6399894,275574127.14577156,0.011583333333333333,0.008657324954182952,0.001767169056267666,2018-06-10,Desert Grassland
5,Addition,24,-6787.066130867512,7707.571204750883,1573.3013839840228,0.022041666666666668,0.007898701966375437,0.001612315787328163,2018-06-10,Desert Grassland
