"Site","Model","AIC","Marginal_R2","Conditional_R2","Delta_AIC"
"Juniper Savanna","temp",34.3481605911443,0.411957397871786,0.630746504138159,0
"Juniper Savanna","vwc_temp",36.3386948381624,0.411347197443442,0.626702393963084,1.99053424701805
"Juniper Savanna","full",43.3064493964238,0.448801026861753,0.587470888786588,8.95828880527951
"Juniper Savanna","vwc",68.4331009128044,0.164283380629065,0.170341032041177,34.0849403216601
"Juniper Savanna","null",84.9024453958515,0,0.018728923062502,50.5542848047072
"Juniper Savanna","Trt",85.2762569614827,0.0352163299476062,NA,50.9280963703384
"Juniper Savanna","Micro",86.8994649591686,2.81336559712946e-05,0.0188204220100644,52.5513043680243
"Desert Grassland","vwc_temp",56.2761254000982,0.411713138322606,NA,0
"Desert Grassland","full",58.2135629266002,0.471171501812724,NA,1.93743752650198
"Desert Grassland","vwc",64.7324414771605,0.382174920965982,0.408437039258867,8.45631607706236
"Desert Grassland","temp",86.5811651851505,0.171343482318261,NA,30.3050397850523
"Desert Grassland","null",102.264873584963,0,NA,45.9887481848649
"Desert Grassland","Micro",104.211540532789,0.00056721027691293,NA,47.9354151326911
"Desert Grassland","Trt",104.703351903941,0.0164732949712935,NA,48.4272265038432
"Ponderosa Pine Meadow","Trt",181.586830151178,0.110302784844309,0.112653236780882,0
"Ponderosa Pine Meadow","vwc",182.493413214268,0.0474145750718783,0.143919450338491,0.906583063090011
"Ponderosa Pine Meadow","temp",182.814820443962,0.0468842525641435,0.133013998479082,1.22799029278471
"Ponderosa Pine Meadow","vwc_temp",182.84674235916,0.0640940232440678,0.141202709286052,1.25991220798224
"Ponderosa Pine Meadow","full",184.406846942591,0.196310140649004,NA,2.82001679141288
"Ponderosa Pine Meadow","null",184.951140074942,0,0.108309032705567,3.36430992376432
"Ponderosa Pine Meadow","Micro",186.161226871396,0.00779511681510261,0.116410280172542,4.574396720218
"Desert Scrub","full",250.950814779437,0.294298010171262,NA,0
"Desert Scrub","vwc",254.481433011206,0.198909156435792,0.253286846749277,3.53061823176876
"Desert Scrub","vwc_temp",256.120430432316,0.198381062854796,0.251047793817976,5.16961565287878
"Desert Scrub","null",272.30083712431,0,NA,21.3500223448724
"Desert Scrub","Micro",272.444621815585,0.0171968384387263,NA,21.4938070361473
"Desert Scrub","Trt",273.738826270196,0.0236570720537148,NA,22.7880114907589
"Desert Scrub","temp",274.225746702551,0.000701531174933073,NA,23.2749319231138
"Mixed Conifer Meadow","full",400.599345013984,0.375587505956266,NA,0
"Mixed Conifer Meadow","vwc",408.909400515789,0.225440955078075,0.289776836199327,8.31005550180532
"Mixed Conifer Meadow","vwc_temp",409.055447284753,0.237305628944037,0.295301850927938,8.45610227076889
"Mixed Conifer Meadow","Trt",433.378797534801,0.0514868331760682,0.0656587792283218,32.7794525208171
"Mixed Conifer Meadow","null",434.221281221029,0,0.0286970419948416,33.6219362070448
"Mixed Conifer Meadow","Micro",434.433746951403,0.0162436673718873,0.0450214283960443,33.8344019374185
"Mixed Conifer Meadow","temp",436.008208486078,0.00202536028361392,0.0290136860561031,35.4088634720941
