site,date,Treatment,mean_VWC,sd_VWC,se_VWC
Antelope,180605,Add,0.027405797101449275,0.0155292123588944,0.0018694974775755725
Antelope,180605,Ctrl,0.01155072463768116,0.010148219536514562,0.001221702066204975
Antelope,180605,Exl,0.009985507246376812,0.010594799992037144,0.0012754640353144922
Antelope,180606,Add,0.024125,0.014481593465353689,0.001706672156956398
Antelope,180606,Ctrl,0.008333333333333333,0.008639900886233802,0.001018222084239264
Antelope,180606,Exl,0.006472222222222222,0.008696724690611285,0.0010249188338072865
Antelope,180607,Add,0.02461111111111111,0.015448739002786371,0.0018206513516085578
Antelope,180607,Ctrl,0.00823611111111111,0.010906120591377926,0.0012852986377669287
Antelope,180607,Exl,0.007486111111111111,0.011233743253272178,0.0013239093387495643
Antelope,180608,Add,0.024958333333333332,0.015815340653934713,0.0018638557705287538
Antelope,180608,Ctrl,0.007597222222222222,0.012533515319326055,0.0014770889457334886
Antelope,180608,Exl,0.008083333333333333,0.011938516198174902,0.0014069676268391523
Antelope,180609,Add,0.024527777777777777,0.015457321727653057,0.001821662835434273
Antelope,180609,Ctrl,0.007611111111111111,0.011830440035100137,0.0013942307288733542
Antelope,180609,Exl,0.007972222222222223,0.011091136192222545,0.0013071029354306842
Antelope,180610,Add,0.024305555555555556,0.014718617977920642,0.001734605763646986
Antelope,180610,Ctrl,0.007527777777777777,0.011203586224417158,0.0013203552988155936
Antelope,180610,Exl,0.007833333333333333,0.010381456925081562,0.0012234664317202029
Antelope,180611,Add,0.025819444444444443,0.01579385367070108,0.0018613235052701302
Antelope,180611,Ctrl,0.008875,0.012028062843810215,0.0014175208002326922
Antelope,180611,Exl,0.009083333333333334,0.011389085459580756,0.0013422165933304434
Antelope,180612,Add,0.0275,0.015746226912242534,0.0018557106379581347
Antelope,180612,Ctrl,0.010527777777777778,0.011725705747368274,0.001381887674693697
Antelope,180612,Exl,0.010513888888888889,0.011117798261556266,0.0013102450904350744
Antelope,180613,Add,0.025013888888888888,0.013780464898999267,0.0016240433629975957
Antelope,180613,Ctrl,0.008916666666666666,0.009667354678446077,0.0011393086748774529
Antelope,180613,Exl,0.008027777777777778,0.008508441909337434,0.001002729495237386
Antelope,180614,Add,0.02411111111111111,0.012956650970904735,0.0015269559604990006
Antelope,180614,Ctrl,0.007638888888888889,0.009228409222407339,0.0010875784567881174
Antelope,180614,Exl,0.007236111111111111,0.007851604403291744,9.253204527936247e-4
Antelope,180615,Add,0.023805555555555555,0.012802551340017017,0.0015087951448358257
Antelope,180615,Ctrl,0.006652777777777777,0.009862662158430157,0.0011623258821296528
Antelope,180615,Exl,0.006333333333333333,0.007738690066391209,9.120133705743664e-4
Antelope,180616,Add,0.021222222222222222,0.012522905461168281,0.001475838561958357
Antelope,180616,Ctrl,0.0024444444444444444,0.008828393516454574,0.0010404361537447299
Antelope,180616,Exl,0.0025,0.0066353725603077104,7.819861555154544e-4
Antelope,180617,Add,0.025875,0.014492287895660375,0.0017079325076548623
Antelope,180617,Ctrl,0.007361111111111111,0.012355423688513952,0.0014561006457635202
Antelope,180617,Exl,0.007694444444444445,0.01092308434088087,0.0012872978348182423
Antelope,180618,Add,0.025777777777777778,0.014820258519938479,0.001746584216397701
Antelope,180618,Ctrl,0.007819444444444445,0.012781287365882377,0.0015062891614515625
Antelope,180618,Exl,0.0077083333333333335,0.01127059929421254,0.0013282528648290008
Antelope,180619,Add,0.02686111111111111,0.015082221186918801,0.0017774568127709508
Antelope,180619,Ctrl,0.009083333333333334,0.011918443513087096,0.0014046020382154508
Antelope,180619,Exl,0.008666666666666666,0.010967300950591494,0.0012925088122461524
Antelope,180620,Add,0.02679166666666667,0.015649269883522488,0.0018442841425428608
Antelope,180620,Ctrl,0.009625,0.012254849571829473,0.0014442478724436133
Antelope,180620,Exl,0.00951388888888889,0.011652229497790136,0.0013732284156382209
Antelope,180621,Add,0.027041666666666665,0.01538376453497666,0.0018129940371431853
Antelope,180621,Ctrl,0.010069444444444445,0.011916761055471748,0.0014044037586839722
Antelope,180621,Exl,0.009958333333333333,0.011251838660389538,0.0013260419029297336
Antelope,180622,Add,0.02734722222222222,0.014842041280038687,0.001749151339294337
Antelope,180622,Ctrl,0.010180555555555556,0.011002338277581493,0.0012966380008310322
Antelope,180622,Exl,0.010027777777777778,0.010118971475627828,0.001192532224841614
Antelope,180623,Add,0.02638888888888889,0.014962446470475564,0.0017633412270689993
Antelope,180623,Ctrl,0.009625,0.011412172275966484,0.0013449374007341696
Antelope,180623,Exl,0.00951388888888889,0.010579002662803007,0.001246747420176425
Antelope,180624,Add,0.026333333333333334,0.014530201669742244,0.001712400688780473
Antelope,180624,Ctrl,0.009402777777777777,0.010627707240480346,0.0012524873097015039
Antelope,180624,Exl,0.009152777777777777,0.00986337616429448,0.001162410028527731
Antelope,180625,Add,0.02713888888888889,0.015026085820534635,0.0017708411963985116
Antelope,180625,Ctrl,0.010527777777777778,0.011473143437798027,0.0013521229210654872
Antelope,180625,Exl,0.010402777777777778,0.010759417391188478,0.0012680094998209742
Antelope,180626,Add,0.026833333333333334,0.014368392541455433,0.0016933313001355583
Antelope,180626,Ctrl,0.010902777777777779,0.010944365998304851,0.00128980590219814
Antelope,180626,Exl,0.010277777777777778,0.009902656098697797,0.0011670392131912558
Antelope,180627,Add,0.027097222222222224,0.014825900179042615,0.0017472490922993138
Antelope,180627,Ctrl,0.011180555555555555,0.011463753519569126,0.0013510163085897467
Antelope,180627,Exl,0.010638888888888889,0.010655033268803595,0.0012557077130232147
Antelope,180628,Add,0.025111111111111112,0.014592642903773734,0.0017197594587820266
Antelope,180628,Ctrl,0.00926388888888889,0.011234996951246702,0.0013240570884727886
Antelope,180628,Exl,0.009027777777777777,0.010485365015068266,0.0012357121175618263
Antelope,180629,Add,0.02438888888888889,0.014257743688468803,0.0016802912077559982
Antelope,180629,Ctrl,0.008388888888888888,0.011094416252668746,0.0013074894942613862
Antelope,180629,Exl,0.00801388888888889,0.01008065090615213,0.0011880161024190813
Antelope,180630,Add,0.024972222222222222,0.014598834819627449,0.0017204891830634764
Antelope,180630,Ctrl,0.008402777777777778,0.011150266493653827,0.001314071508283295
Antelope,180630,Exl,0.008152777777777778,0.010263650782569595,0.0012095828446809294
